Bin center (eV),Counts per 2 eV bin
800.5,25
801.5,17
802.5,16
803.5,11
804.5,20
805.5,19
806.5,17
807.5,13
808.5,23
809.5,29
810.5,28
811.5,24
812.5,30
813.5,29
814.5,13
815.5,26
816.5,29
817.5,32
818.5,24
819.5,19
820.5,26
821.5,19
822.5,30
823.5,30
824.5,25
825.5,39
826.5,32
827.5,40
828.5,42
829.5,30
830.5,45
831.5,41
832.5,57
833.5,51
834.5,52
835.5,50
836.5,54
837.5,55
838.5,66
839.5,61
840.5,72
841.5,71
842.5,69
843.5,68
844.5,46
845.5,65
846.5,49
847.5,67
848.5,74
849.5,56
850.5,56
851.5,54
852.5,51
853.5,56
854.5,57
855.5,61
856.5,50
857.5,51
858.5,53
859.5,39
860.5,46
861.5,48
862.5,57
863.5,62
864.5,65
865.5,61
866.5,51
867.5,47
868.5,52
869.5,57
870.5,54
871.5,59
872.5,54
873.5,53
874.5,56
875.5,61
876.5,76
877.5,55
878.5,61
879.5,66
880.5,39
881.5,49
882.5,59
883.5,60
884.5,58
885.5,57
886.5,62
887.5,42
888.5,60
889.5,47
890.5,54
891.5,52
892.5,64
893.5,85
894.5,83
895.5,81
896.5,81
897.5,67
898.5,69
899.5,72
900.5,72
901.5,63
902.5,77
903.5,66
904.5,72
905.5,67
906.5,60
907.5,73
908.5,61
909.5,75
910.5,81
911.5,83
912.5,63
913.5,87
914.5,80
915.5,74
916.5,87
917.5,91
918.5,98
919.5,94
920.5,81
921.5,75
922.5,58
923.5,76
924.5,67
925.5,79
926.5,62
927.5,79
928.5,84
929.5,73
930.5,68
931.5,81
932.5,64
933.5,61
934.5,61
935.5,63
936.5,65
937.5,74
938.5,70
939.5,57
940.5,70
941.5,49
942.5,61
943.5,64
944.5,52
945.5,57
946.5,79
947.5,56
948.5,80
949.5,83
950.5,79
951.5,86
952.5,65
953.5,71
954.5,70
955.5,61
956.5,42
957.5,69
958.5,44
959.5,49
960.5,51
961.5,46
962.5,53
963.5,54
964.5,64
965.5,96
966.5,96
967.5,70
968.5,62
969.5,69
970.5,52
971.5,39
972.5,47
973.5,38
974.5,46
975.5,44
976.5,49
977.5,44
978.5,36
979.5,32
980.5,31
981.5,33
982.5,37
983.5,40
984.5,44
985.5,25
986.5,48
987.5,59
988.5,72
989.5,103
