Bin center (eV),Counts per 2 eV bin
801.0,26
803.0,22
805.0,17
807.0,20
809.0,18
811.0,34
813.0,39
815.0,27
817.0,33
819.0,27
821.0,28
823.0,33
825.0,38
827.0,33
829.0,44
831.0,58
833.0,67
835.0,99
837.0,154
839.0,173
841.0,231
843.0,214
845.0,197
847.0,203
849.0,232
851.0,275
853.0,287
855.0,292
857.0,255
859.0,167
861.0,100
863.0,72
865.0,45
867.0,42
869.0,35
871.0,27
873.0,41
875.0,27
877.0,27
879.0,27
881.0,15
883.0,25
885.0,18
887.0,36
889.0,37
891.0,20
893.0,31
895.0,28
897.0,22
899.0,34
901.0,74
903.0,117
905.0,138
907.0,190
909.0,169
911.0,109
913.0,86
915.0,73
917.0,132
919.0,172
921.0,231
923.0,215
925.0,188
927.0,155
929.0,122
931.0,160
933.0,140
935.0,120
937.0,89
939.0,52
941.0,59
943.0,50
945.0,35
947.0,32
949.0,26
951.0,41
953.0,44
955.0,41
957.0,32
959.0,19
961.0,25
963.0,25
965.0,22
967.0,18
969.0,23
971.0,25
973.0,25
975.0,13
977.0,21
979.0,18
981.0,16
983.0,15
985.0,24
987.0,12
989.0,13
991.0,18
993.0,16
995.0,11
997.0,14
999.0,15
1001.0,12
1003.0,17
1005.0,14
1007.0,12
1009.0,17
1011.0,19
1013.0,16
1015.0,17
1017.0,12
1019.0,13
1021.0,7
1023.0,9
1025.0,16
1027.0,16
1029.0,23
1031.0,33
1033.0,28
1035.0,28
1037.0,15
1039.0,11
1041.0,14
1043.0,16
1045.0,8
1047.0,11
1049.0,14
1051.0,8
1053.0,17
1055.0,11
1057.0,12
1059.0,12
1061.0,14
1063.0,7
1065.0,6
1067.0,13
1069.0,14
1071.0,10
1073.0,10
1075.0,15
1077.0,9
1079.0,18
1081.0,12
1083.0,12
1085.0,10
1087.0,12
1089.0,19
1091.0,11
1093.0,18
1095.0,11
1097.0,12
1099.0,11
1101.0,11
1103.0,12
1105.0,14
1107.0,12
1109.0,20
1111.0,16
1113.0,9
1115.0,14
1117.0,13
1119.0,11
1121.0,15
1123.0,9
1125.0,15
1127.0,9
1129.0,16
1131.0,21
1133.0,12
1135.0,8
1137.0,12
1139.0,10
1141.0,9
1143.0,14
1145.0,15
1147.0,21
1149.0,14
1151.0,15
1153.0,16
1155.0,9
1157.0,13
1159.0,17
1161.0,15
1163.0,9
1165.0,13
1167.0,9
