Bin center (eV),Counts per 2 eV bin
801.0,19
803.0,19
805.0,12
807.0,23
809.0,19
811.0,17
813.0,30
815.0,28
817.0,43
819.0,36
821.0,36
823.0,31
825.0,37
827.0,55
829.0,31
831.0,31
833.0,60
835.0,61
837.0,107
839.0,159
841.0,211
843.0,231
845.0,228
847.0,234
849.0,206
851.0,277
853.0,304
855.0,324
857.0,314
859.0,283
861.0,197
863.0,119
865.0,87
867.0,60
869.0,57
871.0,53
873.0,41
875.0,37
877.0,22
879.0,24
881.0,29
883.0,22
885.0,33
887.0,21
889.0,30
891.0,28
893.0,31
895.0,31
897.0,26
899.0,21
901.0,35
903.0,80
905.0,122
907.0,160
909.0,193
911.0,174
913.0,131
915.0,101
917.0,101
919.0,132
921.0,179
923.0,252
925.0,224
927.0,220
929.0,184
931.0,161
933.0,168
935.0,169
937.0,144
939.0,105
941.0,82
943.0,58
945.0,53
947.0,42
949.0,47
951.0,32
953.0,41
955.0,44
957.0,53
959.0,37
961.0,27
963.0,25
965.0,22
967.0,23
969.0,27
971.0,22
973.0,24
975.0,27
977.0,19
979.0,26
981.0,23
983.0,20
985.0,17
987.0,25
989.0,20
991.0,20
993.0,17
995.0,17
997.0,16
999.0,12
1001.0,18
1003.0,12
1005.0,15
1007.0,18
1009.0,12
1011.0,15
1013.0,20
1015.0,14
1017.0,21
1019.0,19
1021.0,5
1023.0,12
1025.0,9
1027.0,19
1029.0,17
1031.0,19
1033.0,30
1035.0,37
1037.0,34
1039.0,26
1041.0,14
1043.0,20
1045.0,14
1047.0,9
1049.0,12
1051.0,8
1053.0,14
1055.0,19
1057.0,19
1059.0,13
1061.0,11
1063.0,12
1065.0,10
1067.0,14
1069.0,12
1071.0,14
1073.0,8
1075.0,15
1077.0,16
1079.0,9
1081.0,19
1083.0,16
1085.0,16
1087.0,13
1089.0,9
1091.0,18
1093.0,17
1095.0,16
1097.0,14
1099.0,12
1101.0,16
1103.0,9
1105.0,15
1107.0,12
1109.0,18
1111.0,17
1113.0,25
1115.0,9
1117.0,13
1119.0,16
1121.0,17
1123.0,11
1125.0,15
1127.0,14
1129.0,13
1131.0,15
1133.0,18
1135.0,18
1137.0,10
1139.0,10
1141.0,11
1143.0,10
1145.0,13
1147.0,22
