Bin center (eV),Counts per 2 eV bin
801.0,6
803.0,10
805.0,7
807.0,12
809.0,11
811.0,8
813.0,6
815.0,9
817.0,10
819.0,11
821.0,9
823.0,5
825.0,12
827.0,8
829.0,5
831.0,7
833.0,8
835.0,8
837.0,10
839.0,10
841.0,9
843.0,3
845.0,10
847.0,10
849.0,10
851.0,10
853.0,10
855.0,11
857.0,7
859.0,13
861.0,13
863.0,6
865.0,14
867.0,12
869.0,6
871.0,19
873.0,5
875.0,8
877.0,15
879.0,11
881.0,7
883.0,13
885.0,12
887.0,19
889.0,28
891.0,19
893.0,35
895.0,41
897.0,25
899.0,25
901.0,5
903.0,21
905.0,9
907.0,15
909.0,18
911.0,14
913.0,14
915.0,24
917.0,28
919.0,35
921.0,31
923.0,22
925.0,30
927.0,46
929.0,47
931.0,50
933.0,67
935.0,53
937.0,68
939.0,61
941.0,54
943.0,81
945.0,95
947.0,95
949.0,143
951.0,214
953.0,346
955.0,419
957.0,321
959.0,325
961.0,339
963.0,397
965.0,570
967.0,577
969.0,409
971.0,278
973.0,201
975.0,126
977.0,104
979.0,83
981.0,72
983.0,55
985.0,45
987.0,51
989.0,47
991.0,44
993.0,38
995.0,28
997.0,61
999.0,72
1001.0,77
1003.0,62
1005.0,70
1007.0,79
1009.0,102
1011.0,217
1013.0,367
1015.0,404
1017.0,317
1019.0,165
1021.0,183
1023.0,242
1025.0,322
1027.0,561
1029.0,575
1031.0,385
1033.0,324
1035.0,377
1037.0,387
1039.0,387
1041.0,248
1043.0,169
1045.0,149
1047.0,120
1049.0,91
1051.0,101
1053.0,95
1055.0,118
1057.0,105
1059.0,54
1061.0,72
1063.0,63
1065.0,80
1067.0,48
1069.0,54
1071.0,54
1073.0,52
1075.0,51
1077.0,69
1079.0,43
1081.0,44
1083.0,42
1085.0,31
1087.0,42
1089.0,43
1091.0,26
1093.0,31
1095.0,40
1097.0,38
1099.0,32
1101.0,29
1103.0,32
1105.0,34
1107.0,29
1109.0,17
1111.0,32
1113.0,26
1115.0,29
1117.0,20
1119.0,32
1121.0,45
1123.0,54
1125.0,48
1127.0,32
1129.0,37
1131.0,36
1133.0,16
1135.0,20
1137.0,26
1139.0,21
1141.0,30
1143.0,19
1145.0,22
1147.0,20
1149.0,27
1151.0,26
1153.0,20
1155.0,20
1157.0,21
1159.0,20
1161.0,17
1163.0,23
1165.0,23
1167.0,17
1169.0,31
1171.0,27
1173.0,17
1175.0,19
1177.0,17
1179.0,16
1181.0,20
1183.0,19
1185.0,9
1187.0,19
1189.0,20
1191.0,19
1193.0,18
1195.0,22
1197.0,20
1199.0,18
1201.0,20
1203.0,18
1205.0,17
1207.0,17
1209.0,23
1211.0,15
1213.0,15
1215.0,21
1217.0,22
1219.0,28
1221.0,14
1223.0,17
1225.0,23
1227.0,18
1229.0,24
1231.0,13
1233.0,21
1235.0,20
1237.0,22
1239.0,26
1241.0,17
1243.0,11
1245.0,17
1247.0,23
1249.0,27
1251.0,34
1253.0,12
1255.0,20
1257.0,16
1259.0,9
1261.0,31
1263.0,24
1265.0,31
1267.0,9
1269.0,16
1271.0,23
1273.0,17
1275.0,22
1277.0,22
1279.0,16
1281.0,20
1283.0,20
1285.0,15
1287.0,20
1289.0,22
1291.0,21
1293.0,18
1295.0,22
1297.0,27
1299.0,30
1301.0,20
1303.0,20
1305.0,25
1307.0,11
1309.0,17
1311.0,25
1313.0,25
1315.0,21
