Bin center (eV),Counts per 2 eV bin
801.0,10
803.0,10
805.0,7
807.0,15
809.0,10
811.0,10
813.0,13
815.0,17
817.0,18
819.0,16
821.0,14
823.0,13
825.0,18
827.0,16
829.0,10
831.0,14
833.0,16
835.0,18
837.0,12
839.0,7
841.0,18
843.0,18
845.0,15
847.0,14
849.0,18
851.0,15
853.0,25
855.0,25
857.0,8
859.0,17
861.0,16
863.0,16
865.0,19
867.0,14
869.0,13
871.0,20
873.0,18
875.0,11
877.0,9
879.0,15
881.0,13
883.0,15
885.0,17
887.0,21
889.0,29
891.0,43
893.0,56
895.0,56
897.0,48
899.0,43
901.0,18
903.0,21
905.0,25
907.0,23
909.0,18
911.0,22
913.0,24
915.0,26
917.0,37
919.0,38
921.0,17
923.0,38
925.0,36
927.0,45
929.0,54
931.0,70
933.0,64
935.0,68
937.0,53
939.0,64
941.0,57
943.0,44
945.0,64
947.0,100
949.0,134
951.0,169
953.0,297
955.0,345
957.0,328
959.0,322
961.0,283
963.0,375
965.0,481
967.0,538
969.0,456
971.0,305
973.0,205
975.0,137
977.0,102
979.0,86
981.0,59
983.0,49
985.0,46
987.0,39
989.0,45
991.0,46
993.0,36
995.0,29
997.0,45
999.0,67
1001.0,46
1003.0,60
1005.0,62
1007.0,61
1009.0,84
1011.0,157
1013.0,262
1015.0,386
1017.0,302
1019.0,191
1021.0,166
1023.0,172
1025.0,246
1027.0,412
1029.0,484
1031.0,359
1033.0,260
1035.0,266
1037.0,315
1039.0,280
1041.0,205
1043.0,159
1045.0,111
1047.0,90
1049.0,76
1051.0,61
1053.0,60
1055.0,85
1057.0,52
1059.0,65
1061.0,48
1063.0,57
1065.0,60
1067.0,42
1069.0,55
1071.0,36
1073.0,46
1075.0,55
1077.0,51
1079.0,49
1081.0,36
1083.0,49
1085.0,33
1087.0,35
1089.0,35
1091.0,30
1093.0,33
1095.0,50
1097.0,46
1099.0,29
1101.0,36
1103.0,20
1105.0,28
1107.0,46
1109.0,36
1111.0,43
1113.0,35
1115.0,24
1117.0,21
1119.0,23
1121.0,32
1123.0,57
1125.0,61
1127.0,53
1129.0,42
1131.0,37
1133.0,30
1135.0,26
1137.0,24
1139.0,26
1141.0,23
1143.0,18
1145.0,15
1147.0,28
1149.0,26
1151.0,30
1153.0,21
1155.0,26
1157.0,28
1159.0,26
1161.0,26
1163.0,23
1165.0,23
1167.0,20
1169.0,27
1171.0,28
1173.0,25
1175.0,28
1177.0,23
1179.0,30
1181.0,22
1183.0,25
1185.0,18
1187.0,16
1189.0,23
1191.0,21
1193.0,27
1195.0,38
1197.0,35
1199.0,29
1201.0,14
1203.0,25
1205.0,26
1207.0,24
1209.0,29
1211.0,33
1213.0,26
1215.0,36
1217.0,31
1219.0,40
1221.0,25
1223.0,21
1225.0,16
1227.0,22
1229.0,29
1231.0,28
1233.0,35
1235.0,39
1237.0,33
1239.0,36
1241.0,28
1243.0,29
1245.0,30
1247.0,27
1249.0,30
1251.0,31
1253.0,25
1255.0,29
1257.0,37
1259.0,29
1261.0,19
1263.0,25
1265.0,36
1267.0,40
1269.0,26
1271.0,36
1273.0,32
1275.0,36
1277.0,30
1279.0,38
1281.0,30
1283.0,35
1285.0,32
1287.0,25
1289.0,27
1291.0,35
1293.0,38
1295.0,34
1297.0,39
1299.0,36
1301.0,37
1303.0,27
1305.0,26
1307.0,32
1309.0,37
1311.0,17
1313.0,44
1315.0,40
1317.0,44
1319.0,26
1321.0,25
1323.0,37
1325.0,39
1327.0,39
1329.0,39
1331.0,39
1333.0,35
1335.0,30
1337.0,30
1339.0,35
1341.0,35
1343.0,43
1345.0,48
1347.0,49
1349.0,28
1351.0,34
1353.0,38
1355.0,36
1357.0,40
1359.0,44
1361.0,35
1363.0,31
1365.0,33
1367.0,25
1369.0,20
1371.0,28
1373.0,38
1375.0,22
1377.0,36
1379.0,46
1381.0,45
1383.0,45
1385.0,33
1387.0,36
1389.0,36
1391.0,34
1393.0,19
1395.0,28
1397.0,39
1399.0,28
1401.0,30
1403.0,29
1405.0,32
1407.0,45
1409.0,39
1411.0,33
1413.0,40
1415.0,19
1417.0,35
1419.0,29
1421.0,35
1423.0,28
1425.0,22
1427.0,19
1429.0,26
1431.0,35
1433.0,29
1435.0,40
1437.0,35
1439.0,39
1441.0,27
1443.0,27
1445.0,34
1447.0,28
1449.0,27
1451.0,28
1453.0,30
1455.0,32
1457.0,25
1459.0,31
1461.0,32
1463.0,33
1465.0,17
1467.0,20
1469.0,38
1471.0,55
1473.0,70
1475.0,50
1477.0,34
1479.0,57
1481.0,70
1483.0,40
1485.0,44
1487.0,33
1489.0,31
1491.0,35
1493.0,23
1495.0,26
1497.0,30
1499.0,30
1501.0,40
1503.0,46
1505.0,51
1507.0,34
1509.0,30
1511.0,26
1513.0,35
1515.0,26
1517.0,25
1519.0,29
1521.0,31
1523.0,27
1525.0,28
1527.0,36
1529.0,26
1531.0,26
1533.0,25
1535.0,23
1537.0,19
1539.0,21
1541.0,30
1543.0,20
1545.0,29
1547.0,27
1549.0,21
1551.0,20
1553.0,24
1555.0,14
1557.0,12
1559.0,7
1561.0,22
1563.0,11
1565.0,21
1567.0,22
1569.0,9
1571.0,12
1573.0,16
1575.0,16
1577.0,15
1579.0,23
1581.0,18
1583.0,15
1585.0,15
1587.0,24
1589.0,28
1591.0,23
1593.0,22
1595.0,24
1597.0,18
1599.0,28
1601.0,52
1603.0,68
1605.0,38
1607.0,23
1609.0,18
1611.0,24
1613.0,19
1615.0,17
1617.0,14
1619.0,20
1621.0,11
1623.0,19
1625.0,25
1627.0,18
1629.0,22
1631.0,18
1633.0,19
1635.0,23
1637.0,34
1639.0,45
1641.0,60
1643.0,34
1645.0,32
1647.0,14
1649.0,20
1651.0,25
1653.0,31
1655.0,25
1657.0,29
1659.0,16
1661.0,18
1663.0,23
1665.0,31
1667.0,25
1669.0,22
1671.0,13
1673.0,13
1675.0,20
1677.0,18
1679.0,13
1681.0,13
1683.0,20
1685.0,10
1687.0,13
1689.0,18
1691.0,19
1693.0,24
1695.0,26
1697.0,22
1699.0,18
1701.0,24
1703.0,23
1705.0,21
1707.0,25
1709.0,28
1711.0,24
1713.0,27
1715.0,20
1717.0,15
1719.0,13
1721.0,23
1723.0,24
1725.0,26
1727.0,15
1729.0,9
1731.0,26
1733.0,16
1735.0,25
1737.0,14
1739.0,18
1741.0,23
1743.0,23
1745.0,15
1747.0,17
1749.0,15
1751.0,24
1753.0,14
1755.0,18
1757.0,21
1759.0,18
1761.0,21
1763.0,22
1765.0,33
1767.0,22
1769.0,15
1771.0,7
1773.0,13
1775.0,25
1777.0,21
1779.0,12
