Bin center (eV),Counts per 2 eV bin
801.0,2
803.0,3
805.0,2
807.0,0
809.0,3
811.0,3
813.0,4
815.0,2
817.0,8
819.0,3
821.0,5
823.0,2
825.0,3
827.0,3
829.0,5
831.0,8
833.0,5
835.0,5
837.0,5
839.0,6
841.0,16
843.0,11
845.0,11
847.0,17
849.0,12
851.0,13
853.0,17
855.0,12
857.0,12
859.0,4
861.0,1
863.0,7
865.0,11
867.0,1
869.0,15
871.0,3
873.0,11
875.0,2
877.0,4
879.0,5
881.0,4
883.0,4
885.0,1
887.0,6
889.0,8
891.0,5
893.0,1
895.0,3
897.0,7
899.0,5
901.0,9
903.0,8
905.0,17
907.0,10
909.0,5
911.0,8
913.0,11
915.0,12
917.0,22
919.0,12
921.0,20
923.0,16
925.0,24
927.0,21
929.0,11
931.0,15
933.0,17
935.0,14
937.0,14
939.0,11
941.0,11
943.0,4
945.0,7
947.0,7
949.0,12
951.0,11
953.0,6
955.0,5
957.0,7
959.0,2
961.0,3
963.0,6
965.0,1
967.0,3
969.0,2
971.0,1
973.0,5
975.0,3
977.0,6
979.0,5
981.0,2
983.0,7
985.0,2
987.0,7
989.0,5
991.0,4
993.0,8
995.0,6
997.0,2
999.0,3
1001.0,4
1003.0,5
1005.0,2
1007.0,8
1009.0,5
1011.0,10
1013.0,6
1015.0,2
1017.0,4
1019.0,2
1021.0,2
1023.0,8
1025.0,3
1027.0,2
1029.0,9
1031.0,2
1033.0,3
1035.0,1
1037.0,5
1039.0,2
1041.0,3
1043.0,4
1045.0,2
1047.0,4
1049.0,2
1051.0,3
1053.0,7
1055.0,8
1057.0,2
1059.0,4
1061.0,3
1063.0,5
1065.0,3
1067.0,2
1069.0,3
1071.0,3
1073.0,5
1075.0,2
1077.0,2
1079.0,6
1081.0,2
1083.0,2
1085.0,1
1087.0,8
1089.0,3
1091.0,5
1093.0,1
1095.0,8
1097.0,5
1099.0,6
1101.0,4
1103.0,2
1105.0,3
1107.0,10
1109.0,4
1111.0,8
1113.0,2
1115.0,3
1117.0,2
1119.0,5
1121.0,8
1123.0,2
1125.0,4
1127.0,3
1129.0,6
1131.0,4
1133.0,3
1135.0,4
1137.0,2
1139.0,3
1141.0,5
1143.0,4
1145.0,3
1147.0,2
1149.0,5
1151.0,7
1153.0,8
1155.0,5
1157.0,6
1159.0,0
1161.0,6
1163.0,4
1165.0,1
1167.0,7
1169.0,3
1171.0,6
1173.0,3
1175.0,7
1177.0,8
1179.0,6
1181.0,3
1183.0,5
1185.0,1
1187.0,3
1189.0,1
1191.0,1
1193.0,4
1195.0,4
1197.0,3
1199.0,3
1201.0,2
1203.0,6
1205.0,6
1207.0,5
1209.0,3
1211.0,2
1213.0,3
1215.0,5
1217.0,6
1219.0,7
1221.0,3
1223.0,5
1225.0,3
1227.0,3
1229.0,7
1231.0,5
1233.0,8
1235.0,6
1237.0,7
1239.0,6
1241.0,4
1243.0,3
1245.0,1
1247.0,3
1249.0,3
1251.0,4
1253.0,1
1255.0,3
1257.0,2
1259.0,5
1261.0,3
1263.0,6
1265.0,9
1267.0,8
1269.0,4
1271.0,3
1273.0,4
1275.0,2
1277.0,2
1279.0,4
1281.0,2
1283.0,5
1285.0,2
1287.0,4
1289.0,2
1291.0,7
1293.0,2
1295.0,2
1297.0,6
1299.0,3
1301.0,1
1303.0,2
1305.0,6
1307.0,5
1309.0,3
1311.0,4
1313.0,4
1315.0,9
1317.0,6
1319.0,3
1321.0,1
1323.0,4
1325.0,5
1327.0,4
1329.0,3
1331.0,2
1333.0,3
1335.0,0
1337.0,1
1339.0,5
1341.0,6
1343.0,3
1345.0,4
1347.0,7
1349.0,11
1351.0,8
1353.0,6
1355.0,3
1357.0,5
1359.0,0
1361.0,4
1363.0,5
1365.0,7
1367.0,4
1369.0,3
1371.0,7
1373.0,5
1375.0,7
1377.0,4
1379.0,3
1381.0,6
1383.0,6
1385.0,6
1387.0,7
1389.0,13
1391.0,13
1393.0,6
1395.0,7
1397.0,7
1399.0,4
1401.0,4
1403.0,1
1405.0,1
1407.0,3
1409.0,3
1411.0,1
1413.0,6
1415.0,1
1417.0,6
1419.0,6
1421.0,9
1423.0,5
1425.0,5
1427.0,5
1429.0,6
1431.0,5
1433.0,10
1435.0,2
1437.0,3
1439.0,2
1441.0,2
1443.0,2
1445.0,3
1447.0,2
1449.0,1
1451.0,4
1453.0,3
1455.0,4
1457.0,4
1459.0,5
1461.0,4
1463.0,5
1465.0,3
1467.0,4
1469.0,5
1471.0,4
1473.0,3
1475.0,2
1477.0,1
1479.0,3
1481.0,2
1483.0,6
1485.0,1
1487.0,3
1489.0,3
1491.0,3
1493.0,3
1495.0,4
1497.0,2
1499.0,2
1501.0,3
1503.0,4
1505.0,2
1507.0,11
1509.0,10
1511.0,6
1513.0,2
1515.0,2
1517.0,8
1519.0,8
1521.0,4
1523.0,5
1525.0,6
1527.0,5
1529.0,4
1531.0,5
1533.0,7
1535.0,5
1537.0,5
1539.0,3
1541.0,4
1543.0,3
1545.0,3
1547.0,1
1549.0,6
1551.0,3
1553.0,4
1555.0,3
1557.0,2
1559.0,5
1561.0,10
1563.0,13
1565.0,18
1567.0,11
1569.0,1
1571.0,5
1573.0,4
1575.0,2
1577.0,2
1579.0,1
1581.0,3
1583.0,2
1585.0,1
1587.0,4
1589.0,0
1591.0,1
1593.0,4
1595.0,2
1597.0,3
1599.0,1
1601.0,1
1603.0,2
1605.0,4
1607.0,4
1609.0,5
1611.0,5
1613.0,8
1615.0,6
1617.0,10
1619.0,8
1621.0,2
1623.0,6
1625.0,0
1627.0,9
1629.0,7
1631.0,9
1633.0,3
1635.0,5
1637.0,6
1639.0,3
1641.0,3
1643.0,8
1645.0,2
1647.0,4
1649.0,3
1651.0,2
1653.0,6
1655.0,5
1657.0,4
1659.0,2
1661.0,3
1663.0,4
1665.0,5
1667.0,3
1669.0,6
1671.0,9
1673.0,10
1675.0,7
1677.0,3
1679.0,1
1681.0,4
1683.0,0
1685.0,5
1687.0,7
1689.0,4
1691.0,4
1693.0,4
1695.0,8
1697.0,2
1699.0,4
1701.0,3
1703.0,4
1705.0,5
1707.0,7
1709.0,3
1711.0,3
1713.0,1
1715.0,2
1717.0,1
1719.0,6
1721.0,4
1723.0,7
1725.0,7
1727.0,6
1729.0,4
1731.0,4
1733.0,5
1735.0,2
1737.0,4
1739.0,6
1741.0,2
1743.0,4
1745.0,6
1747.0,0
1749.0,1
1751.0,4
1753.0,4
1755.0,5
1757.0,2
1759.0,3
1761.0,5
1763.0,10
1765.0,5
1767.0,7
1769.0,6
1771.0,3
1773.0,4
1775.0,4
1777.0,2
1779.0,5
1781.0,3
1783.0,3
1785.0,10
1787.0,7
1789.0,2
1791.0,4
1793.0,4
1795.0,2
1797.0,3
1799.0,5
1801.0,2
1803.0,5
1805.0,2
1807.0,2
1809.0,7
1811.0,3
1813.0,8
1815.0,5
1817.0,9
1819.0,5
1821.0,7
1823.0,9
1825.0,7
1827.0,2
1829.0,6
1831.0,5
1833.0,10
1835.0,8
1837.0,4
1839.0,4
1841.0,7
1843.0,3
1845.0,5
1847.0,4
1849.0,2
1851.0,1
1853.0,3
1855.0,3
1857.0,3
1859.0,4
1861.0,3
1863.0,11
1865.0,16
1867.0,18
1869.0,8
1871.0,14
1873.0,14
1875.0,10
1877.0,2
1879.0,5
1881.0,3
1883.0,7
1885.0,8
1887.0,10
1889.0,7
1891.0,11
1893.0,12
1895.0,12
1897.0,3
1899.0,2
1901.0,12
1903.0,1
1905.0,0
1907.0,4
1909.0,4
1911.0,2
1913.0,5
1915.0,6
1917.0,5
1919.0,5
1921.0,2
1923.0,2
1925.0,4
1927.0,7
1929.0,6
1931.0,10
1933.0,4
1935.0,3
1937.0,6
1939.0,7
1941.0,5
1943.0,6
1945.0,6
1947.0,4
1949.0,4
1951.0,4
1953.0,1
1955.0,7
1957.0,6
1959.0,2
1961.0,2
1963.0,0
1965.0,8
1967.0,3
1969.0,7
1971.0,10
1973.0,5
1975.0,3
1977.0,5
1979.0,10
1981.0,3
1983.0,8
1985.0,8
1987.0,3
1989.0,7
1991.0,6
1993.0,4
1995.0,6
1997.0,10
1999.0,6
2001.0,6
2003.0,5
2005.0,1
2007.0,4
2009.0,4
2011.0,0
2013.0,8
2015.0,5
2017.0,6
2019.0,4
2021.0,6
2023.0,5
2025.0,4
2027.0,4
2029.0,10
2031.0,3
2033.0,10
2035.0,10
2037.0,6
2039.0,8
2041.0,4
2043.0,7
2045.0,2
2047.0,3
2049.0,6
2051.0,3
2053.0,8
2055.0,5
2057.0,5
2059.0,4
2061.0,2
2063.0,4
2065.0,3
2067.0,8
2069.0,10
2071.0,13
2073.0,7
2075.0,6
2077.0,12
2079.0,4
2081.0,6
2083.0,9
2085.0,11
2087.0,12
2089.0,7
2091.0,8
2093.0,4
2095.0,6
2097.0,12
2099.0,16
2101.0,7
2103.0,7
2105.0,10
2107.0,6
2109.0,16
2111.0,13
2113.0,13
2115.0,14
2117.0,5
2119.0,5
2121.0,4
2123.0,8
2125.0,3
2127.0,10
2129.0,7
2131.0,5
2133.0,3
2135.0,10
2137.0,7
2139.0,13
2141.0,14
2143.0,9
2145.0,15
2147.0,11
2149.0,9
2151.0,11
2153.0,11
2155.0,14
2157.0,12
2159.0,21
2161.0,15
2163.0,24
2165.0,11
2167.0,17
2169.0,11
2171.0,10
2173.0,6
2175.0,7
2177.0,16
2179.0,22
2181.0,16
2183.0,21
2185.0,20
2187.0,14
2189.0,10
2191.0,10
2193.0,3
2195.0,6
2197.0,10
2199.0,5
2201.0,11
2203.0,12
2205.0,10
2207.0,8
2209.0,10
2211.0,8
2213.0,8
2215.0,9
2217.0,6
2219.0,6
2221.0,13
2223.0,4
2225.0,9
2227.0,12
2229.0,16
2231.0,13
2233.0,7
2235.0,8
2237.0,11
2239.0,10
2241.0,13
2243.0,9
2245.0,10
2247.0,10
2249.0,11
2251.0,11
2253.0,11
2255.0,14
2257.0,13
2259.0,8
2261.0,10
2263.0,9
2265.0,8
2267.0,8
2269.0,7
2271.0,14
2273.0,22
2275.0,17
2277.0,27
2279.0,14
2281.0,9
2283.0,20
2285.0,17
2287.0,4
2289.0,11
2291.0,13
2293.0,11
2295.0,19
2297.0,10
2299.0,12
2301.0,11
2303.0,15
2305.0,16
2307.0,11
2309.0,14
2311.0,11
2313.0,10
2315.0,11
2317.0,13
2319.0,15
2321.0,24
2323.0,14
2325.0,15
