Bin center (eV),Counts per 2 eV bin
801.0,17
803.0,16
805.0,13
807.0,13
809.0,19
811.0,30
813.0,30
815.0,38
817.0,36
819.0,38
821.0,34
823.0,32
825.0,42
827.0,26
829.0,37
831.0,49
833.0,81
835.0,108
837.0,164
839.0,202
841.0,219
843.0,211
845.0,180
847.0,256
849.0,244
851.0,298
853.0,281
855.0,265
857.0,222
859.0,149
861.0,106
863.0,68
865.0,50
867.0,45
869.0,42
871.0,34
873.0,26
875.0,28
877.0,19
879.0,25
881.0,23
883.0,28
885.0,24
887.0,21
889.0,29
891.0,26
893.0,29
895.0,24
897.0,23
899.0,42
901.0,90
903.0,131
905.0,156
907.0,170
909.0,152
911.0,109
913.0,87
915.0,108
917.0,134
919.0,211
921.0,200
923.0,228
925.0,165
927.0,172
929.0,142
931.0,153
933.0,166
935.0,95
937.0,91
939.0,71
941.0,52
943.0,43
945.0,45
947.0,37
949.0,28
951.0,44
953.0,50
955.0,43
957.0,25
959.0,23
961.0,28
963.0,19
965.0,26
967.0,18
969.0,25
971.0,21
973.0,23
975.0,14
977.0,26
979.0,22
981.0,15
983.0,18
985.0,20
987.0,19
989.0,15
991.0,10
993.0,23
995.0,9
997.0,14
999.0,18
1001.0,9
1003.0,14
1005.0,17
1007.0,13
1009.0,14
1011.0,20
1013.0,18
1015.0,16
1017.0,12
1019.0,14
1021.0,5
1023.0,13
1025.0,18
1027.0,17
1029.0,26
1031.0,28
1033.0,29
1035.0,22
1037.0,19
1039.0,15
1041.0,11
1043.0,13
1045.0,7
1047.0,12
1049.0,9
1051.0,17
1053.0,15
1055.0,14
1057.0,9
1059.0,15
1061.0,10
1063.0,11
1065.0,8
1067.0,12
1069.0,12
1071.0,6
1073.0,21
1075.0,15
1077.0,10
1079.0,11
1081.0,20
1083.0,10
1085.0,9
1087.0,15
1089.0,16
1091.0,15
1093.0,16
1095.0,10
1097.0,15
1099.0,12
1101.0,8
1103.0,13
1105.0,14
1107.0,20
1109.0,13
1111.0,16
1113.0,12
1115.0,12
1117.0,20
1119.0,8
1121.0,15
1123.0,13
1125.0,10
1127.0,18
1129.0,15
1131.0,11
1133.0,15
1135.0,7
1137.0,11
1139.0,12
1141.0,11
1143.0,17
1145.0,19
1147.0,14
1149.0,20
1151.0,15
1153.0,12
1155.0,9
1157.0,16
1159.0,12
1161.0,19
1163.0,10
1165.0,9
1167.0,12
1169.0,10
1171.0,16
1173.0,8
1175.0,12
1177.0,7
1179.0,15
1181.0,14
1183.0,17
1185.0,15
1187.0,19
1189.0,7
1191.0,20
1193.0,10
1195.0,14
1197.0,14
1199.0,13
1201.0,11
1203.0,11
1205.0,13
1207.0,9
1209.0,12
1211.0,19
1213.0,15
1215.0,9
1217.0,18
1219.0,13
1221.0,21
1223.0,20
1225.0,13
1227.0,18
1229.0,10
1231.0,15
1233.0,8
1235.0,12
1237.0,10
1239.0,6
1241.0,10
1243.0,15
1245.0,13
1247.0,18
1249.0,14
1251.0,17
1253.0,20
1255.0,23
1257.0,15
1259.0,12
1261.0,11
1263.0,12
1265.0,14
1267.0,11
1269.0,15
1271.0,26
1273.0,12
1275.0,16
1277.0,18
1279.0,14
1281.0,11
1283.0,14
1285.0,16
1287.0,23
1289.0,19
1291.0,14
1293.0,21
1295.0,14
1297.0,15
1299.0,18
1301.0,15
1303.0,16
1305.0,12
1307.0,21
1309.0,12
1311.0,17
1313.0,13
1315.0,14
1317.0,7
1319.0,17
1321.0,15
1323.0,17
1325.0,22
1327.0,12
1329.0,18
1331.0,12
1333.0,17
1335.0,16
1337.0,14
1339.0,20
1341.0,28
1343.0,18
1345.0,18
1347.0,23
1349.0,18
1351.0,12
1353.0,18
1355.0,16
1357.0,15
1359.0,20
1361.0,18
1363.0,11
1365.0,10
1367.0,14
1369.0,11
1371.0,19
1373.0,8
1375.0,14
1377.0,12
1379.0,18
1381.0,10
1383.0,27
1385.0,18
1387.0,17
1389.0,28
1391.0,17
1393.0,19
1395.0,23
1397.0,16
1399.0,28
1401.0,19
1403.0,15
1405.0,15
1407.0,11
1409.0,16
1411.0,11
1413.0,17
1415.0,21
1417.0,25
1419.0,18
1421.0,10
1423.0,11
1425.0,12
1427.0,15
1429.0,10
1431.0,22
1433.0,18
1435.0,12
1437.0,14
1439.0,21
1441.0,19
1443.0,20
1445.0,11
1447.0,24
1449.0,12
1451.0,13
1453.0,21
1455.0,22
1457.0,14
1459.0,15
1461.0,16
1463.0,18
1465.0,26
1467.0,18
1469.0,18
1471.0,15
1473.0,19
1475.0,20
1477.0,14
1479.0,23
1481.0,10
1483.0,18
1485.0,13
1487.0,19
1489.0,21
1491.0,21
1493.0,12
1495.0,18
1497.0,17
1499.0,13
1501.0,19
1503.0,14
1505.0,14
1507.0,23
1509.0,17
1511.0,12
1513.0,24
1515.0,9
1517.0,15
1519.0,22
1521.0,14
1523.0,11
1525.0,16
1527.0,25
1529.0,16
1531.0,10
1533.0,22
1535.0,13
1537.0,17
1539.0,19
1541.0,21
1543.0,20
1545.0,19
1547.0,15
1549.0,15
1551.0,16
1553.0,20
1555.0,15
1557.0,19
1559.0,12
1561.0,13
1563.0,13
1565.0,13
1567.0,5
1569.0,11
1571.0,5
1573.0,9
1575.0,10
1577.0,16
1579.0,9
1581.0,5
1583.0,13
1585.0,7
1587.0,10
1589.0,7
1591.0,12
1593.0,16
1595.0,7
1597.0,8
1599.0,10
1601.0,4
1603.0,11
1605.0,5
1607.0,7
1609.0,10
1611.0,8
1613.0,12
1615.0,6
1617.0,4
1619.0,8
1621.0,11
1623.0,8
1625.0,8
1627.0,14
1629.0,21
1631.0,8
1633.0,11
1635.0,7
1637.0,16
