Bin center (eV),Counts per 2 eV bin
801.0,16
803.0,23
805.0,15
807.0,12
809.0,23
811.0,28
813.0,34
815.0,42
817.0,39
819.0,41
821.0,55
823.0,38
825.0,51
827.0,53
829.0,83
831.0,113
833.0,135
835.0,191
837.0,249
839.0,291
841.0,262
843.0,251
845.0,247
847.0,292
849.0,343
851.0,404
853.0,376
855.0,235
857.0,164
859.0,104
861.0,79
863.0,93
865.0,66
867.0,56
869.0,37
871.0,30
873.0,36
875.0,37
877.0,41
879.0,26
881.0,34
883.0,38
885.0,41
887.0,47
889.0,51
891.0,52
893.0,39
895.0,41
897.0,68
899.0,103
901.0,167
903.0,227
905.0,249
907.0,217
909.0,127
911.0,97
913.0,139
915.0,216
917.0,302
919.0,319
921.0,377
923.0,260
925.0,229
927.0,213
929.0,244
931.0,241
933.0,206
935.0,130
937.0,105
939.0,104
941.0,85
943.0,75
945.0,67
947.0,63
949.0,59
951.0,56
953.0,50
955.0,46
957.0,40
959.0,42
961.0,38
963.0,37
965.0,33
967.0,32
969.0,39
971.0,45
973.0,41
975.0,40
977.0,25
979.0,40
981.0,35
983.0,22
985.0,29
987.0,23
989.0,17
991.0,33
993.0,22
995.0,33
997.0,25
999.0,27
1001.0,23
1003.0,26
1005.0,24
1007.0,23
1009.0,18
1011.0,21
1013.0,20
1015.0,18
1017.0,27
1019.0,28
1021.0,13
1023.0,18
1025.0,20
1027.0,46
1029.0,42
1031.0,37
1033.0,35
1035.0,27
1037.0,27
1039.0,19
1041.0,23
1043.0,14
1045.0,12
1047.0,25
1049.0,17
1051.0,18
1053.0,20
1055.0,32
1057.0,14
1059.0,11
1061.0,18
1063.0,20
1065.0,12
1067.0,8
1069.0,21
1071.0,20
1073.0,14
1075.0,29
1077.0,19
1079.0,20
1081.0,25
1083.0,11
1085.0,13
1087.0,14
1089.0,17
1091.0,18
1093.0,19
1095.0,11
1097.0,22
1099.0,22
1101.0,20
1103.0,19
1105.0,25
1107.0,30
1109.0,19
1111.0,29
1113.0,25
1115.0,29
1117.0,26
1119.0,33
1121.0,20
1123.0,23
1125.0,27
1127.0,22
1129.0,19
1131.0,19
1133.0,16
1135.0,17
1137.0,12
1139.0,15
1141.0,19
1143.0,22
1145.0,26
1147.0,23
1149.0,9
1151.0,13
1153.0,12
1155.0,5
1157.0,14
1159.0,18
1161.0,25
1163.0,32
1165.0,20
1167.0,21
1169.0,18
1171.0,23
1173.0,29
1175.0,21
1177.0,29
