Bin center (eV),Counts per 2 eV bin
801.0,7
803.0,9
805.0,13
807.0,10
809.0,12
811.0,10
813.0,6
815.0,16
817.0,16
819.0,13
821.0,13
823.0,12
825.0,8
827.0,14
829.0,12
831.0,11
833.0,18
835.0,17
837.0,8
839.0,9
841.0,17
843.0,13
845.0,12
847.0,11
849.0,19
851.0,12
853.0,22
855.0,19
857.0,21
859.0,13
861.0,13
863.0,12
865.0,11
867.0,19
869.0,19
871.0,13
873.0,10
875.0,6
877.0,9
879.0,13
881.0,17
883.0,10
885.0,15
887.0,19
889.0,31
891.0,38
893.0,51
895.0,66
897.0,41
899.0,25
901.0,23
903.0,20
905.0,19
907.0,19
909.0,23
911.0,19
913.0,20
915.0,39
917.0,26
919.0,26
921.0,22
923.0,31
925.0,34
927.0,39
929.0,62
931.0,59
933.0,63
935.0,51
937.0,49
939.0,60
941.0,41
943.0,47
945.0,55
947.0,70
949.0,114
951.0,184
953.0,266
955.0,331
957.0,297
959.0,217
961.0,247
963.0,335
965.0,532
967.0,508
969.0,348
971.0,233
973.0,131
975.0,113
977.0,104
979.0,73
981.0,47
983.0,48
985.0,45
987.0,37
989.0,46
991.0,30
993.0,30
995.0,34
997.0,48
999.0,54
1001.0,58
1003.0,59
1005.0,47
1007.0,52
1009.0,89
1011.0,146
1013.0,299
1015.0,370
1017.0,213
1019.0,113
1021.0,118
1023.0,175
1025.0,265
1027.0,416
1029.0,431
1031.0,252
1033.0,192
1035.0,277
1037.0,315
1039.0,215
1041.0,150
1043.0,117
1045.0,103
1047.0,86
1049.0,63
1051.0,51
1053.0,56
1055.0,67
1057.0,52
1059.0,46
1061.0,60
1063.0,59
1065.0,36
1067.0,34
1069.0,58
1071.0,30
1073.0,53
1075.0,41
1077.0,42
1079.0,36
1081.0,44
1083.0,26
1085.0,35
1087.0,30
1089.0,32
1091.0,26
1093.0,37
1095.0,39
1097.0,41
1099.0,21
1101.0,26
1103.0,28
1105.0,36
1107.0,30
1109.0,33
1111.0,36
1113.0,24
1115.0,17
1117.0,17
1119.0,20
1121.0,38
1123.0,60
1125.0,55
1127.0,48
1129.0,27
1131.0,30
1133.0,25
1135.0,26
1137.0,20
1139.0,19
1141.0,20
1143.0,20
1145.0,16
1147.0,24
1149.0,19
1151.0,24
1153.0,24
1155.0,19
1157.0,24
1159.0,24
1161.0,22
1163.0,21
1165.0,26
1167.0,18
1169.0,26
1171.0,23
1173.0,18
1175.0,26
1177.0,22
1179.0,17
1181.0,21
1183.0,19
1185.0,20
1187.0,16
1189.0,19
1191.0,18
1193.0,35
1195.0,28
1197.0,30
1199.0,20
1201.0,19
1203.0,19
1205.0,22
1207.0,30
1209.0,28
1211.0,28
1213.0,34
1215.0,27
1217.0,34
1219.0,31
1221.0,21
1223.0,17
1225.0,16
1227.0,22
1229.0,23
1231.0,32
1233.0,41
1235.0,26
1237.0,27
1239.0,29
1241.0,24
1243.0,30
1245.0,25
1247.0,22
1249.0,34
1251.0,21
1253.0,26
1255.0,26
1257.0,27
1259.0,20
1261.0,24
1263.0,26
1265.0,33
1267.0,29
1269.0,28
1271.0,25
1273.0,32
1275.0,29
1277.0,27
1279.0,34
1281.0,32
1283.0,32
1285.0,21
1287.0,25
1289.0,31
1291.0,27
1293.0,33
1295.0,34
1297.0,35
1299.0,32
1301.0,29
1303.0,25
1305.0,27
1307.0,30
1309.0,22
1311.0,32
1313.0,37
1315.0,29
1317.0,35
1319.0,16
1321.0,31
1323.0,36
1325.0,32
1327.0,33
1329.0,29
1331.0,34
1333.0,27
1335.0,29
1337.0,26
1339.0,39
1341.0,29
1343.0,44
1345.0,41
1347.0,38
1349.0,28
1351.0,37
1353.0,31
1355.0,31
1357.0,37
1359.0,34
1361.0,33
1363.0,24
1365.0,24
1367.0,22
1369.0,16
1371.0,37
1373.0,21
1375.0,21
1377.0,36
1379.0,48
1381.0,30
1383.0,43
1385.0,26
1387.0,30
1389.0,31
1391.0,23
1393.0,24
1395.0,30
1397.0,39
1399.0,22
1401.0,30
1403.0,32
1405.0,30
1407.0,35
1409.0,35
1411.0,33
1413.0,23
1415.0,23
1417.0,24
1419.0,27
1421.0,27
1423.0,22
1425.0,19
1427.0,17
1429.0,28
1431.0,29
1433.0,27
1435.0,32
1437.0,37
1439.0,34
1441.0,21
1443.0,26
1445.0,29
1447.0,27
1449.0,26
1451.0,17
1453.0,25
1455.0,29
1457.0,24
1459.0,31
1461.0,31
1463.0,20
1465.0,24
1467.0,26
1469.0,40
1471.0,58
1473.0,52
1475.0,40
1477.0,32
1479.0,68
1481.0,46
1483.0,27
1485.0,27
1487.0,30
1489.0,27
1491.0,26
1493.0,19
1495.0,23
1497.0,30
1499.0,40
1501.0,39
1503.0,44
1505.0,30
1507.0,25
1509.0,27
1511.0,20
1513.0,26
1515.0,29
1517.0,23
1519.0,25
1521.0,24
1523.0,23
1525.0,31
1527.0,22
1529.0,24
1531.0,25
1533.0,21
1535.0,15
1537.0,18
1539.0,22
1541.0,25
1543.0,23
1545.0,25
1547.0,21
