Bin center (eV),Counts per 2 eV bin
801.0,3
803.0,7
805.0,3
807.0,5
809.0,3
811.0,0
813.0,1
815.0,2
817.0,3
819.0,4
821.0,3
823.0,7
825.0,5
827.0,5
829.0,2
831.0,4
833.0,8
835.0,6
837.0,5
839.0,7
841.0,9
843.0,7
845.0,6
847.0,7
849.0,8
851.0,13
853.0,5
855.0,12
857.0,14
859.0,13
861.0,4
863.0,5
865.0,7
867.0,8
869.0,6
871.0,9
873.0,16
875.0,4
877.0,5
879.0,7
881.0,7
883.0,6
885.0,3
887.0,11
889.0,23
891.0,21
893.0,35
895.0,35
897.0,20
899.0,9
901.0,13
903.0,5
905.0,10
907.0,14
909.0,11
911.0,16
913.0,22
915.0,27
917.0,20
919.0,18
921.0,13
923.0,15
925.0,26
927.0,19
929.0,37
931.0,48
933.0,46
935.0,22
937.0,28
939.0,37
941.0,50
943.0,36
945.0,44
947.0,56
949.0,53
951.0,91
953.0,156
955.0,215
957.0,173
959.0,171
961.0,196
963.0,253
965.0,324
967.0,345
969.0,263
971.0,166
973.0,117
975.0,82
977.0,72
979.0,58
981.0,40
983.0,24
985.0,35
987.0,34
989.0,17
991.0,20
993.0,14
995.0,19
997.0,32
999.0,38
1001.0,43
1003.0,56
1005.0,39
1007.0,42
1009.0,48
1011.0,96
1013.0,249
1015.0,337
1017.0,204
1019.0,101
1021.0,94
1023.0,146
1025.0,214
1027.0,364
1029.0,441
1031.0,227
1033.0,172
1035.0,251
1037.0,284
1039.0,203
1041.0,133
1043.0,106
1045.0,90
1047.0,69
1049.0,46
1051.0,40
1053.0,55
1055.0,72
1057.0,46
1059.0,38
1061.0,34
1063.0,48
1065.0,40
1067.0,35
1069.0,32
1071.0,29
1073.0,45
1075.0,47
1077.0,34
1079.0,25
1081.0,33
1083.0,19
1085.0,21
1087.0,20
1089.0,18
1091.0,13
1093.0,20
1095.0,13
1097.0,18
1099.0,18
1101.0,12
1103.0,12
1105.0,20
1107.0,23
1109.0,17
1111.0,9
1113.0,15
1115.0,22
1117.0,19
1119.0,15
1121.0,34
1123.0,37
1125.0,32
1127.0,34
1129.0,25
1131.0,20
1133.0,9
1135.0,10
1137.0,9
1139.0,13
1141.0,16
1143.0,12
1145.0,15
1147.0,10
1149.0,11
1151.0,13
1153.0,11
1155.0,14
1157.0,11
1159.0,17
1161.0,20
1163.0,19
1165.0,19
1167.0,12
1169.0,12
1171.0,12
1173.0,17
1175.0,14
1177.0,15
1179.0,13
1181.0,20
1183.0,12
1185.0,16
1187.0,14
1189.0,17
1191.0,11
1193.0,13
1195.0,12
1197.0,11
1199.0,16
1201.0,24
1203.0,13
1205.0,15
