Bin center (eV),Counts per 2 eV bin
801.0,10
803.0,6
805.0,8
807.0,11
809.0,8
811.0,7
813.0,8
815.0,7
817.0,14
819.0,5
821.0,9
823.0,10
825.0,6
827.0,8
829.0,6
831.0,7
833.0,8
835.0,12
837.0,13
839.0,9
841.0,9
843.0,8
845.0,11
847.0,8
849.0,11
851.0,8
853.0,12
855.0,11
857.0,5
859.0,14
861.0,15
863.0,6
865.0,9
867.0,9
869.0,10
871.0,10
873.0,11
875.0,7
877.0,11
879.0,11
881.0,9
883.0,12
885.0,16
887.0,23
889.0,27
891.0,27
893.0,38
895.0,37
897.0,24
899.0,16
901.0,13
903.0,12
905.0,16
907.0,13
909.0,22
911.0,15
913.0,18
915.0,28
917.0,26
919.0,28
921.0,34
923.0,26
925.0,41
927.0,45
929.0,53
931.0,65
933.0,65
935.0,62
937.0,45
939.0,48
941.0,67
943.0,92
945.0,92
947.0,117
949.0,168
951.0,227
953.0,366
955.0,386
957.0,371
959.0,318
961.0,382
963.0,455
965.0,567
967.0,556
969.0,352
971.0,247
973.0,166
975.0,106
977.0,98
979.0,71
981.0,70
983.0,37
985.0,42
987.0,41
989.0,51
991.0,44
993.0,30
995.0,44
997.0,57
999.0,69
1001.0,74
1003.0,60
1005.0,71
1007.0,87
1009.0,146
1011.0,263
1013.0,400
1015.0,360
1017.0,276
1019.0,191
1021.0,174
1023.0,279
1025.0,389
1027.0,578
1029.0,494
1031.0,399
1033.0,342
1035.0,373
1037.0,369
1039.0,361
1041.0,208
1043.0,177
1045.0,142
1047.0,95
1049.0,91
1051.0,100
1053.0,100
1055.0,117
1057.0,96
1059.0,61
1061.0,77
1063.0,69
1065.0,60
1067.0,49
1069.0,46
1071.0,51
1073.0,63
1075.0,49
1077.0,60
1079.0,38
1081.0,41
1083.0,43
1085.0,30
1087.0,44
1089.0,33
1091.0,33
1093.0,34
1095.0,39
1097.0,37
1099.0,28
1101.0,37
1103.0,28
1105.0,34
1107.0,24
1109.0,25
1111.0,27
1113.0,21
1115.0,27
1117.0,33
1119.0,26
1121.0,43
1123.0,55
1125.0,45
1127.0,36
1129.0,47
1131.0,22
1133.0,25
1135.0,25
1137.0,18
1139.0,18
1141.0,29
1143.0,18
1145.0,22
1147.0,23
1149.0,29
1151.0,17
1153.0,21
1155.0,19
1157.0,23
1159.0,26
1161.0,13
1163.0,21
1165.0,25
1167.0,20
1169.0,31
1171.0,25
1173.0,18
1175.0,21
1177.0,18
1179.0,13
1181.0,17
1183.0,16
1185.0,15
1187.0,19
1189.0,17
1191.0,21
1193.0,17
1195.0,22
1197.0,17
1199.0,23
1201.0,15
1203.0,16
1205.0,19
1207.0,16
1209.0,22
1211.0,17
1213.0,14
1215.0,23
1217.0,24
1219.0,21
1221.0,16
1223.0,16
1225.0,22
1227.0,26
1229.0,20
1231.0,15
1233.0,18
1235.0,23
1237.0,21
1239.0,23
1241.0,17
1243.0,13
1245.0,15
1247.0,31
1249.0,26
1251.0,28
1253.0,18
1255.0,14
1257.0,14
1259.0,17
1261.0,24
1263.0,29
1265.0,26
1267.0,8
1269.0,21
1271.0,20
1273.0,21
1275.0,19
1277.0,18
1279.0,19
1281.0,20
1283.0,20
1285.0,19
1287.0,18
1289.0,21
1291.0,22
1293.0,15
1295.0,21
1297.0,25
1299.0,34
1301.0,18
1303.0,27
1305.0,18
1307.0,16
1309.0,15
1311.0,21
1313.0,24
1315.0,24
1317.0,22
1319.0,17
1321.0,17
1323.0,16
1325.0,18
1327.0,21
1329.0,25
1331.0,16
1333.0,18
1335.0,26
1337.0,23
1339.0,21
1341.0,22
1343.0,15
1345.0,24
1347.0,22
1349.0,18
1351.0,18
1353.0,23
1355.0,10
1357.0,28
1359.0,24
1361.0,23
1363.0,18
1365.0,22
1367.0,23
1369.0,19
1371.0,18
1373.0,29
1375.0,16
1377.0,20
1379.0,22
1381.0,16
1383.0,32
1385.0,21
1387.0,27
1389.0,22
1391.0,21
1393.0,19
1395.0,16
1397.0,17
1399.0,14
1401.0,20
1403.0,11
1405.0,22
1407.0,15
1409.0,19
1411.0,23
1413.0,28
1415.0,17
1417.0,23
1419.0,21
1421.0,19
1423.0,18
1425.0,21
1427.0,15
1429.0,29
1431.0,29
1433.0,22
1435.0,16
1437.0,20
1439.0,16
1441.0,19
1443.0,15
1445.0,18
1447.0,17
1449.0,19
1451.0,16
1453.0,20
1455.0,22
1457.0,18
1459.0,21
1461.0,25
1463.0,26
1465.0,18
1467.0,17
1469.0,17
1471.0,24
1473.0,15
1475.0,24
1477.0,38
1479.0,20
1481.0,18
1483.0,16
1485.0,22
1487.0,18
1489.0,26
1491.0,24
1493.0,27
1495.0,23
1497.0,25
1499.0,28
1501.0,26
1503.0,23
1505.0,38
1507.0,15
1509.0,26
1511.0,16
1513.0,19
1515.0,28
1517.0,29
1519.0,23
1521.0,29
1523.0,20
1525.0,28
1527.0,21
1529.0,39
1531.0,29
1533.0,31
1535.0,25
1537.0,14
1539.0,19
1541.0,30
1543.0,28
1545.0,29
1547.0,23
1549.0,26
1551.0,28
1553.0,28
1555.0,18
1557.0,26
1559.0,23
1561.0,40
1563.0,41
1565.0,36
1567.0,37
1569.0,47
1571.0,54
1573.0,52
1575.0,59
1577.0,48
1579.0,68
1581.0,80
1583.0,100
1585.0,63
1587.0,77
1589.0,67
1591.0,68
1593.0,64
1595.0,63
1597.0,63
1599.0,52
1601.0,76
1603.0,75
1605.0,75
1607.0,79
1609.0,61
1611.0,66
1613.0,53
1615.0,56
1617.0,48
1619.0,40
1621.0,34
1623.0,42
1625.0,29
1627.0,33
1629.0,25
1631.0,16
1633.0,16
1635.0,26
1637.0,24
1639.0,21
1641.0,19
1643.0,27
1645.0,15
1647.0,14
1649.0,11
1651.0,18
1653.0,28
1655.0,27
1657.0,14
1659.0,15
1661.0,14
1663.0,17
1665.0,23
1667.0,27
1669.0,21
1671.0,27
1673.0,29
1675.0,27
1677.0,27
1679.0,31
1681.0,23
1683.0,26
1685.0,24
1687.0,25
1689.0,23
1691.0,16
1693.0,21
1695.0,23
1697.0,22
1699.0,21
1701.0,17
1703.0,18
1705.0,20
1707.0,14
1709.0,21
1711.0,20
1713.0,22
1715.0,24
1717.0,23
1719.0,24
1721.0,32
1723.0,31
1725.0,40
1727.0,32
