Bin center (eV),Counts per 2 eV bin
801.0,3
803.0,13
805.0,10
807.0,10
809.0,12
811.0,13
813.0,14
815.0,16
817.0,19
819.0,19
821.0,12
823.0,14
825.0,16
827.0,11
829.0,13
831.0,16
833.0,15
835.0,21
837.0,10
839.0,17
841.0,19
843.0,14
845.0,7
847.0,19
849.0,22
851.0,17
853.0,19
855.0,20
857.0,19
859.0,12
861.0,16
863.0,11
865.0,17
867.0,18
869.0,17
871.0,14
873.0,17
875.0,6
877.0,13
879.0,13
881.0,22
883.0,22
885.0,26
887.0,20
889.0,25
891.0,54
893.0,60
895.0,55
897.0,40
899.0,30
901.0,25
903.0,21
905.0,25
907.0,26
909.0,16
911.0,19
913.0,24
915.0,43
917.0,30
919.0,26
921.0,35
923.0,30
925.0,34
927.0,42
929.0,70
931.0,80
933.0,77
935.0,69
937.0,41
939.0,47
941.0,47
943.0,74
945.0,91
947.0,109
949.0,134
951.0,208
953.0,350
955.0,374
957.0,329
959.0,297
961.0,326
963.0,418
965.0,546
967.0,538
969.0,350
971.0,236
973.0,144
975.0,135
977.0,90
979.0,46
981.0,51
983.0,47
985.0,46
987.0,40
989.0,42
991.0,35
993.0,42
995.0,40
997.0,71
999.0,46
1001.0,60
1003.0,50
1005.0,76
1007.0,64
1009.0,114
1011.0,183
1013.0,380
1015.0,373
1017.0,203
1019.0,134
1021.0,173
1023.0,239
1025.0,323
1027.0,463
1029.0,495
1031.0,263
1033.0,216
1035.0,299
1037.0,320
1039.0,228
1041.0,182
1043.0,124
1045.0,99
1047.0,77
1049.0,75
1051.0,59
1053.0,71
1055.0,74
1057.0,53
1059.0,57
1061.0,57
1063.0,71
1065.0,43
1067.0,42
1069.0,52
1071.0,35
1073.0,56
1075.0,38
1077.0,54
1079.0,38
1081.0,40
1083.0,41
1085.0,40
1087.0,29
1089.0,35
1091.0,45
1093.0,35
1095.0,37
1097.0,44
1099.0,26
1101.0,29
1103.0,30
1105.0,40
1107.0,36
1109.0,33
1111.0,38
1113.0,27
1115.0,20
1117.0,24
1119.0,32
1121.0,41
1123.0,65
1125.0,63
1127.0,50
1129.0,31
1131.0,39
1133.0,21
1135.0,26
1137.0,24
1139.0,23
1141.0,25
1143.0,17
1145.0,16
1147.0,25
1149.0,24
1151.0,31
1153.0,28
1155.0,24
1157.0,22
1159.0,31
1161.0,22
1163.0,23
1165.0,25
1167.0,21
1169.0,33
1171.0,25
1173.0,20
1175.0,30
1177.0,25
1179.0,22
1181.0,24
1183.0,22
1185.0,25
1187.0,16
1189.0,20
1191.0,23
1193.0,41
1195.0,35
1197.0,32
1199.0,17
1201.0,19
1203.0,25
1205.0,28
1207.0,21
1209.0,31
1211.0,32
1213.0,34
1215.0,35
1217.0,38
1219.0,25
1221.0,21
1223.0,22
1225.0,17
1227.0,28
1229.0,25
1231.0,38
1233.0,37
1235.0,33
1237.0,31
1239.0,36
1241.0,30
1243.0,29
1245.0,29
1247.0,22
1249.0,38
1251.0,24
1253.0,24
1255.0,35
1257.0,33
1259.0,24
1261.0,22
1263.0,35
1265.0,31
1267.0,32
1269.0,33
1271.0,34
1273.0,35
1275.0,33
1277.0,27
1279.0,39
1281.0,32
1283.0,36
1285.0,26
1287.0,27
1289.0,36
1291.0,32
1293.0,32
1295.0,39
1297.0,41
1299.0,33
1301.0,34
1303.0,29
1305.0,23
1307.0,37
1309.0,29
1311.0,37
1313.0,39
1315.0,35
1317.0,38
1319.0,21
1321.0,30
1323.0,45
1325.0,36
1327.0,38
1329.0,39
1331.0,39
1333.0,26
1335.0,32
1337.0,34
1339.0,37
1341.0,32
1343.0,53
1345.0,50
1347.0,36
1349.0,34
1351.0,36
1353.0,40
1355.0,32
1357.0,41
1359.0,39
1361.0,38
1363.0,34
1365.0,20
1367.0,28
1369.0,21
1371.0,37
1373.0,32
1375.0,20
1377.0,43
1379.0,52
1381.0,37
1383.0,50
1385.0,32
1387.0,32
1389.0,29
1391.0,25
1393.0,27
1395.0,34
1397.0,43
1399.0,27
1401.0,24
1403.0,32
1405.0,44
1407.0,38
1409.0,41
1411.0,33
1413.0,30
1415.0,30
1417.0,27
1419.0,31
1421.0,28
1423.0,27
1425.0,25
1427.0,27
1429.0,31
1431.0,30
1433.0,32
1435.0,38
1437.0,33
1439.0,32
1441.0,32
1443.0,28
1445.0,30
1447.0,31
1449.0,33
1451.0,22
1453.0,31
1455.0,25
1457.0,32
1459.0,29
1461.0,33
1463.0,28
1465.0,21
1467.0,28
1469.0,43
1471.0,69
1473.0,54
1475.0,49
1477.0,39
1479.0,75
1481.0,55
1483.0,33
1485.0,38
1487.0,33
1489.0,35
1491.0,26
1493.0,26
1495.0,27
1497.0,32
1499.0,42
1501.0,48
1503.0,44
1505.0,41
1507.0,29
1509.0,31
1511.0,24
1513.0,26
1515.0,30
1517.0,23
1519.0,36
1521.0,31
1523.0,21
1525.0,39
1527.0,30
1529.0,23
1531.0,31
1533.0,20
1535.0,19
1537.0,22
1539.0,31
1541.0,27
1543.0,27
1545.0,23
1547.0,23
1549.0,18
1551.0,17
1553.0,17
1555.0,12
1557.0,7
1559.0,16
1561.0,24
1563.0,15
1565.0,23
1567.0,14
1569.0,9
1571.0,16
1573.0,17
1575.0,21
1577.0,19
1579.0,20
1581.0,21
1583.0,12
1585.0,16
1587.0,24
1589.0,27
1591.0,25
1593.0,21
1595.0,20
1597.0,27
1599.0,43
1601.0,76
1603.0,49
1605.0,23
1607.0,15
1609.0,24
1611.0,23
1613.0,16
1615.0,15
1617.0,18
1619.0,21
1621.0,21
1623.0,19
1625.0,16
1627.0,22
1629.0,23
1631.0,12
1633.0,32
1635.0,26
1637.0,37
1639.0,61
1641.0,49
1643.0,34
1645.0,17
1647.0,18
1649.0,22
1651.0,29
1653.0,22
1655.0,24
1657.0,18
1659.0,17
1661.0,24
1663.0,22
1665.0,30
1667.0,22
1669.0,22
1671.0,11
1673.0,15
1675.0,20
1677.0,15
1679.0,12
1681.0,20
1683.0,17
1685.0,18
1687.0,13
1689.0,22
1691.0,33
1693.0,19
1695.0,33
1697.0,21
1699.0,20
1701.0,21
1703.0,26
1705.0,24
1707.0,26
1709.0,30
1711.0,19
1713.0,19
1715.0,14
1717.0,15
1719.0,17
1721.0,23
1723.0,22
1725.0,12
1727.0,13
1729.0,15
1731.0,17
1733.0,16
1735.0,13
1737.0,20
1739.0,22
1741.0,30
1743.0,12
1745.0,21
1747.0,12
1749.0,17
1751.0,15
1753.0,27
1755.0,21
1757.0,22
1759.0,26
1761.0,23
1763.0,30
1765.0,23
1767.0,13
1769.0,13
1771.0,21
1773.0,19
1775.0,20
1777.0,22
1779.0,16
1781.0,11
1783.0,14
1785.0,17
1787.0,20
1789.0,16
1791.0,15
1793.0,19
1795.0,13
1797.0,32
1799.0,42
1801.0,30
1803.0,17
1805.0,24
1807.0,15
1809.0,19
1811.0,19
1813.0,20
1815.0,24
1817.0,25
1819.0,19
1821.0,25
1823.0,20
1825.0,19
1827.0,12
1829.0,20
1831.0,16
1833.0,22
1835.0,18
1837.0,17
1839.0,24
1841.0,15
1843.0,31
1845.0,23
1847.0,29
1849.0,20
1851.0,14
1853.0,18
1855.0,16
1857.0,22
1859.0,23
1861.0,18
1863.0,19
1865.0,29
1867.0,24
1869.0,31
1871.0,45
1873.0,37
1875.0,35
1877.0,21
1879.0,17
1881.0,16
1883.0,11
1885.0,22
1887.0,22
1889.0,15
1891.0,15
1893.0,21
1895.0,24
1897.0,18
1899.0,26
1901.0,16
1903.0,28
1905.0,19
1907.0,26
1909.0,38
1911.0,24
1913.0,24
1915.0,21
1917.0,23
1919.0,26
1921.0,21
1923.0,31
1925.0,21
1927.0,32
1929.0,43
1931.0,43
1933.0,83
1935.0,107
1937.0,118
1939.0,74
1941.0,68
1943.0,60
1945.0,45
1947.0,31
1949.0,34
1951.0,34
1953.0,21
1955.0,31
1957.0,29
1959.0,30
1961.0,43
1963.0,67
1965.0,94
1967.0,65
1969.0,37
1971.0,23
1973.0,22
1975.0,33
1977.0,30
1979.0,24
1981.0,26
1983.0,15
1985.0,18
1987.0,14
1989.0,14
1991.0,15
1993.0,19
1995.0,25
1997.0,22
1999.0,17
2001.0,21
2003.0,24
2005.0,25
2007.0,27
2009.0,29
2011.0,18
2013.0,15
2015.0,21
2017.0,21
2019.0,22
2021.0,24
2023.0,23
2025.0,26
2027.0,30
2029.0,25
2031.0,23
2033.0,25
2035.0,27
2037.0,21
2039.0,37
2041.0,36
2043.0,30
2045.0,33
2047.0,15
2049.0,18
2051.0,21
2053.0,18
2055.0,21
2057.0,12
2059.0,25
2061.0,20
2063.0,27
2065.0,26
2067.0,33
2069.0,28
2071.0,15
2073.0,9
2075.0,21
2077.0,14
2079.0,15
2081.0,21
2083.0,23
2085.0,34
2087.0,44
2089.0,42
2091.0,36
2093.0,34
2095.0,26
2097.0,29
2099.0,25
2101.0,22
2103.0,21
2105.0,14
2107.0,22
2109.0,17
2111.0,16
2113.0,17
2115.0,27
2117.0,20
2119.0,12
2121.0,20
2123.0,13
2125.0,19
2127.0,17
2129.0,25
2131.0,19
2133.0,23
2135.0,32
2137.0,25
2139.0,38
2141.0,24
2143.0,45
2145.0,34
2147.0,25
2149.0,28
2151.0,26
2153.0,35
2155.0,34
2157.0,40
2159.0,33
2161.0,25
2163.0,18
2165.0,19
2167.0,20
2169.0,30
2171.0,28
2173.0,31
2175.0,35
2177.0,48
2179.0,31
2181.0,34
2183.0,16
2185.0,18
2187.0,19
2189.0,29
2191.0,34
2193.0,35
2195.0,34
2197.0,27
2199.0,39
2201.0,36
2203.0,32
2205.0,28
2207.0,35
2209.0,31
2211.0,50
2213.0,42
2215.0,49
2217.0,34
2219.0,33
2221.0,31
2223.0,37
2225.0,46
2227.0,47
2229.0,59
2231.0,55
2233.0,48
2235.0,30
2237.0,47
2239.0,41
2241.0,33
2243.0,40
2245.0,42
2247.0,30
2249.0,37
2251.0,55
2253.0,75
2255.0,92
2257.0,70
2259.0,40
2261.0,22
2263.0,35
2265.0,36
2267.0,32
2269.0,28
2271.0,32
2273.0,39
2275.0,49
2277.0,34
2279.0,41
2281.0,37
2283.0,40
2285.0,44
2287.0,40
2289.0,29
2291.0,25
2293.0,25
2295.0,31
2297.0,28
2299.0,42
2301.0,52
2303.0,46
2305.0,62
2307.0,63
2309.0,57
2311.0,45
2313.0,37
2315.0,33
2317.0,41
2319.0,46
2321.0,46
2323.0,44
2325.0,50
2327.0,42
2329.0,40
2331.0,44
2333.0,44
2335.0,31
2337.0,22
2339.0,27
2341.0,27
2343.0,33
2345.0,29
2347.0,28
2349.0,26
2351.0,35
2353.0,45
2355.0,39
2357.0,53
2359.0,53
2361.0,53
2363.0,44
2365.0,53
2367.0,51
2369.0,34
2371.0,45
2373.0,38
2375.0,38
2377.0,50
2379.0,39
2381.0,36
2383.0,35
2385.0,28
2387.0,27
2389.0,32
2391.0,28
2393.0,30
2395.0,42
2397.0,35
2399.0,39
2401.0,30
2403.0,30
2405.0,46
2407.0,63
2409.0,54
2411.0,52
2413.0,50
2415.0,39
2417.0,53
2419.0,60
2421.0,65
2423.0,54
2425.0,46
2427.0,48
2429.0,51
2431.0,39
2433.0,44
2435.0,51
2437.0,43
2439.0,50
2441.0,46
2443.0,34
2445.0,52
2447.0,45
2449.0,40
2451.0,52
2453.0,43
2455.0,39
2457.0,46
2459.0,60
2461.0,47
2463.0,64
2465.0,45
2467.0,53
2469.0,73
2471.0,86
2473.0,84
2475.0,75
2477.0,54
2479.0,55
2481.0,69
2483.0,53
2485.0,43
2487.0,43
2489.0,34
2491.0,29
2493.0,41
2495.0,35
2497.0,35
2499.0,31
2501.0,41
2503.0,42
2505.0,28
2507.0,48
2509.0,63
2511.0,60
2513.0,72
2515.0,51
2517.0,30
2519.0,29
2521.0,40
2523.0,34
2525.0,53
2527.0,44
2529.0,41
2531.0,39
2533.0,44
2535.0,39
2537.0,51
2539.0,30
2541.0,38
2543.0,29
2545.0,43
2547.0,49
2549.0,43
2551.0,43
2553.0,54
2555.0,54
2557.0,54
2559.0,66
2561.0,75
2563.0,65
2565.0,52
2567.0,53
2569.0,48
2571.0,44
2573.0,45
2575.0,47
2577.0,26
2579.0,29
2581.0,43
2583.0,51
2585.0,38
2587.0,40
2589.0,48
2591.0,38
2593.0,43
2595.0,42
2597.0,54
2599.0,45
2601.0,59
2603.0,48
2605.0,65
2607.0,60
2609.0,62
2611.0,54
2613.0,62
2615.0,51
