Bin center (eV),Counts per 2 eV bin
801.0,40
803.0,39
805.0,15
807.0,23
809.0,33
811.0,44
813.0,39
815.0,40
817.0,55
819.0,48
821.0,51
823.0,74
825.0,83
827.0,77
829.0,56
831.0,90
833.0,101
835.0,159
837.0,233
839.0,284
841.0,303
843.0,262
845.0,252
847.0,275
849.0,369
851.0,415
853.0,443
855.0,349
857.0,255
859.0,175
861.0,119
863.0,100
865.0,69
867.0,58
869.0,32
871.0,35
873.0,43
875.0,66
877.0,48
879.0,38
881.0,32
883.0,33
885.0,37
887.0,61
889.0,60
891.0,56
893.0,50
895.0,40
897.0,51
899.0,94
901.0,136
903.0,194
905.0,303
907.0,261
909.0,209
911.0,130
913.0,135
915.0,199
917.0,227
919.0,339
921.0,392
923.0,370
925.0,276
927.0,255
929.0,265
931.0,292
933.0,281
935.0,181
937.0,140
939.0,131
941.0,90
943.0,64
945.0,60
947.0,50
949.0,63
951.0,83
953.0,88
955.0,49
957.0,47
959.0,34
961.0,34
963.0,39
965.0,27
967.0,37
969.0,28
971.0,33
973.0,39
975.0,44
977.0,31
979.0,30
981.0,33
983.0,41
985.0,20
987.0,21
989.0,32
991.0,24
993.0,33
995.0,30
997.0,27
999.0,31
1001.0,20
1003.0,22
1005.0,24
1007.0,23
1009.0,18
1011.0,28
1013.0,14
1015.0,19
1017.0,17
1019.0,17
1021.0,22
1023.0,20
1025.0,14
1027.0,27
1029.0,34
1031.0,33
1033.0,27
1035.0,31
1037.0,27
1039.0,22
1041.0,11
1043.0,20
1045.0,10
1047.0,14
1049.0,22
1051.0,13
1053.0,17
1055.0,18
1057.0,14
1059.0,19
1061.0,15
1063.0,16
1065.0,16
1067.0,14
1069.0,19
1071.0,16
1073.0,18
1075.0,12
1077.0,18
1079.0,13
1081.0,10
1083.0,16
1085.0,21
1087.0,16
1089.0,10
1091.0,17
1093.0,15
1095.0,18
1097.0,17
1099.0,7
1101.0,9
1103.0,13
1105.0,9
1107.0,9
1109.0,16
1111.0,9
1113.0,13
1115.0,13
1117.0,14
1119.0,15
1121.0,9
1123.0,15
1125.0,16
1127.0,14
1129.0,14
1131.0,10
1133.0,17
1135.0,14
1137.0,11
1139.0,17
1141.0,14
1143.0,21
1145.0,13
1147.0,10
1149.0,13
1151.0,16
1153.0,21
1155.0,18
1157.0,15
1159.0,13
1161.0,13
1163.0,14
1165.0,25
1167.0,13
1169.0,9
1171.0,15
1173.0,10
1175.0,9
1177.0,5
1179.0,12
1181.0,21
1183.0,20
1185.0,20
1187.0,11
1189.0,17
1191.0,10
1193.0,11
1195.0,9
1197.0,15
1199.0,14
1201.0,21
1203.0,14
1205.0,11
1207.0,9
1209.0,11
1211.0,14
1213.0,14
1215.0,13
1217.0,15
1219.0,8
1221.0,16
1223.0,17
1225.0,14
1227.0,16
1229.0,13
1231.0,18
1233.0,10
1235.0,15
1237.0,16
1239.0,10
1241.0,15
1243.0,18
1245.0,20
1247.0,18
1249.0,15
1251.0,10
1253.0,15
1255.0,11
1257.0,11
1259.0,18
1261.0,11
1263.0,15
1265.0,17
1267.0,16
1269.0,13
1271.0,15
1273.0,6
1275.0,12
1277.0,11
1279.0,15
1281.0,10
1283.0,13
1285.0,17
1287.0,15
1289.0,14
1291.0,14
1293.0,18
1295.0,12
1297.0,20
1299.0,13
1301.0,13
1303.0,15
1305.0,13
1307.0,20
1309.0,9
1311.0,14
1313.0,15
1315.0,9
1317.0,11
1319.0,11
1321.0,13
1323.0,20
1325.0,23
1327.0,10
1329.0,11
1331.0,17
1333.0,11
1335.0,13
1337.0,16
1339.0,11
1341.0,22
1343.0,16
1345.0,12
1347.0,10
1349.0,16
1351.0,12
1353.0,16
1355.0,12
1357.0,11
1359.0,13
1361.0,17
1363.0,20
1365.0,16
1367.0,12
1369.0,13
1371.0,13
1373.0,9
1375.0,9
1377.0,11
1379.0,11
1381.0,9
1383.0,12
1385.0,13
1387.0,13
1389.0,17
1391.0,17
1393.0,16
1395.0,22
1397.0,18
1399.0,13
1401.0,14
1403.0,13
1405.0,15
1407.0,10
1409.0,10
1411.0,13
1413.0,18
1415.0,17
1417.0,22
1419.0,15
1421.0,15
1423.0,10
1425.0,9
1427.0,13
1429.0,14
1431.0,8
1433.0,12
1435.0,12
1437.0,8
1439.0,15
1441.0,13
1443.0,13
1445.0,13
1447.0,13
1449.0,10
1451.0,17
1453.0,11
1455.0,19
1457.0,19
1459.0,13
1461.0,14
1463.0,9
1465.0,20
1467.0,10
1469.0,9
1471.0,19
1473.0,16
1475.0,23
1477.0,18
1479.0,13
1481.0,11
1483.0,14
1485.0,17
1487.0,14
1489.0,14
1491.0,19
1493.0,20
1495.0,15
1497.0,22
1499.0,8
1501.0,26
1503.0,18
1505.0,25
1507.0,23
1509.0,14
1511.0,17
1513.0,12
1515.0,14
1517.0,16
1519.0,13
1521.0,21
1523.0,18
1525.0,14
1527.0,22
1529.0,20
1531.0,20
1533.0,13
1535.0,27
1537.0,21
1539.0,19
1541.0,22
1543.0,22
1545.0,17
1547.0,17
1549.0,13
1551.0,11
1553.0,19
1555.0,16
1557.0,25
1559.0,21
1561.0,24
1563.0,14
1565.0,23
1567.0,17
1569.0,20
1571.0,24
1573.0,26
1575.0,30
1577.0,32
1579.0,28
1581.0,32
1583.0,33
1585.0,46
1587.0,37
1589.0,37
1591.0,50
1593.0,38
1595.0,59
1597.0,62
1599.0,59
1601.0,75
1603.0,49
1605.0,53
1607.0,68
1609.0,39
1611.0,49
1613.0,48
1615.0,44
1617.0,47
1619.0,52
1621.0,49
1623.0,49
1625.0,63
1627.0,50
1629.0,37
1631.0,48
1633.0,46
1635.0,40
1637.0,27
1639.0,27
1641.0,38
1643.0,29
1645.0,24
1647.0,31
1649.0,26
1651.0,18
1653.0,14
1655.0,16
1657.0,20
1659.0,27
1661.0,21
1663.0,22
1665.0,14
1667.0,12
1669.0,18
1671.0,12
1673.0,13
1675.0,18
1677.0,18
1679.0,18
1681.0,17
1683.0,14
1685.0,17
1687.0,14
1689.0,19
1691.0,20
1693.0,20
1695.0,33
1697.0,18
1699.0,27
1701.0,23
1703.0,30
1705.0,30
1707.0,22
1709.0,27
1711.0,13
1713.0,20
1715.0,21
1717.0,18
1719.0,16
1721.0,20
1723.0,22
1725.0,15
1727.0,16
1729.0,21
1731.0,20
1733.0,21
1735.0,19
1737.0,17
1739.0,24
1741.0,29
1743.0,28
1745.0,24
1747.0,26
1749.0,16
1751.0,30
1753.0,29
1755.0,33
1757.0,26
1759.0,27
1761.0,24
1763.0,29
1765.0,30
1767.0,25
1769.0,31
1771.0,15
1773.0,17
1775.0,31
1777.0,20
1779.0,24
1781.0,25
1783.0,32
1785.0,48
1787.0,31
1789.0,38
1791.0,29
1793.0,35
1795.0,37
1797.0,36
1799.0,49
1801.0,54
1803.0,47
1805.0,40
1807.0,51
1809.0,54
1811.0,44
1813.0,46
1815.0,62
1817.0,63
1819.0,57
1821.0,63
1823.0,50
1825.0,60
1827.0,40
1829.0,60
1831.0,57
1833.0,31
1835.0,57
1837.0,45
1839.0,43
1841.0,57
1843.0,51
1845.0,43
1847.0,37
1849.0,29
1851.0,31
1853.0,25
1855.0,28
1857.0,26
1859.0,28
1861.0,34
1863.0,40
1865.0,43
1867.0,41
1869.0,46
1871.0,47
1873.0,53
1875.0,56
1877.0,56
1879.0,52
1881.0,54
1883.0,69
1885.0,69
1887.0,42
1889.0,55
1891.0,46
1893.0,62
1895.0,59
1897.0,56
1899.0,41
1901.0,42
1903.0,34
1905.0,41
1907.0,27
1909.0,34
1911.0,15
1913.0,20
1915.0,9
1917.0,13
1919.0,19
1921.0,22
1923.0,9
1925.0,13
1927.0,14
1929.0,10
1931.0,10
1933.0,12
1935.0,15
1937.0,9
1939.0,11
1941.0,14
1943.0,9
1945.0,10
1947.0,11
1949.0,9
1951.0,7
1953.0,6
1955.0,16
1957.0,14
1959.0,14
1961.0,16
1963.0,13
1965.0,15
1967.0,12
1969.0,10
1971.0,14
1973.0,10
1975.0,7
1977.0,7
1979.0,8
1981.0,11
1983.0,18
1985.0,20
1987.0,13
1989.0,13
1991.0,19
1993.0,14
1995.0,16
1997.0,18
1999.0,17
2001.0,23
2003.0,35
2005.0,41
2007.0,20
2009.0,35
2011.0,25
2013.0,30
2015.0,24
2017.0,28
2019.0,27
2021.0,21
2023.0,20
2025.0,19
2027.0,22
2029.0,25
2031.0,22
2033.0,23
2035.0,23
2037.0,27
2039.0,25
2041.0,33
2043.0,30
2045.0,32
2047.0,34
2049.0,34
2051.0,32
2053.0,38
2055.0,22
2057.0,19
2059.0,25
2061.0,34
2063.0,35
2065.0,25
2067.0,28
2069.0,34
2071.0,23
2073.0,40
2075.0,35
2077.0,24
2079.0,24
2081.0,33
2083.0,40
2085.0,33
2087.0,44
2089.0,37
2091.0,46
2093.0,42
2095.0,39
2097.0,47
2099.0,43
2101.0,43
2103.0,66
2105.0,57
2107.0,53
2109.0,48
2111.0,54
2113.0,37
2115.0,34
2117.0,42
2119.0,47
2121.0,40
2123.0,41
2125.0,48
2127.0,33
2129.0,49
2131.0,52
2133.0,47
2135.0,52
2137.0,58
2139.0,54
2141.0,44
2143.0,43
2145.0,38
2147.0,43
2149.0,41
2151.0,46
2153.0,47
2155.0,40
2157.0,46
2159.0,49
2161.0,37
2163.0,34
2165.0,41
2167.0,28
2169.0,29
2171.0,29
2173.0,21
2175.0,28
2177.0,26
2179.0,34
2181.0,24
2183.0,33
2185.0,32
2187.0,42
2189.0,51
2191.0,48
2193.0,49
2195.0,56
2197.0,61
2199.0,54
2201.0,68
2203.0,69
2205.0,61
2207.0,64
2209.0,56
2211.0,57
2213.0,40
2215.0,47
2217.0,45
2219.0,34
2221.0,39
2223.0,37
2225.0,39
2227.0,28
2229.0,37
2231.0,34
2233.0,45
2235.0,32
2237.0,27
2239.0,35
2241.0,36
2243.0,40
2245.0,26
