Bin center (eV),Counts per 2 eV bin
801.0,26
803.0,32
805.0,25
807.0,36
809.0,46
811.0,45
813.0,50
815.0,52
817.0,57
819.0,57
821.0,52
823.0,58
825.0,72
827.0,50
829.0,37
831.0,70
833.0,110
835.0,134
837.0,195
839.0,239
841.0,261
843.0,270
845.0,219
847.0,256
849.0,318
851.0,383
853.0,393
855.0,342
857.0,245
859.0,176
861.0,125
863.0,89
865.0,83
867.0,56
869.0,41
871.0,43
873.0,36
875.0,42
877.0,52
879.0,32
881.0,35
883.0,25
885.0,39
887.0,55
889.0,52
891.0,48
893.0,55
895.0,36
897.0,57
899.0,81
901.0,105
903.0,134
905.0,260
907.0,250
909.0,189
911.0,109
913.0,121
915.0,160
917.0,194
919.0,228
921.0,285
923.0,317
925.0,248
927.0,222
929.0,198
931.0,218
933.0,166
935.0,165
937.0,115
939.0,88
941.0,69
943.0,71
945.0,55
947.0,35
949.0,47
951.0,41
953.0,51
955.0,40
957.0,30
959.0,39
961.0,26
963.0,32
965.0,39
967.0,43
969.0,25
971.0,19
973.0,35
975.0,42
977.0,36
979.0,27
981.0,37
983.0,21
985.0,25
987.0,29
989.0,19
991.0,22
993.0,25
995.0,25
997.0,26
999.0,27
1001.0,24
1003.0,24
1005.0,26
1007.0,23
1009.0,32
1011.0,24
1013.0,19
1015.0,23
1017.0,31
1019.0,24
1021.0,17
1023.0,12
1025.0,21
1027.0,25
1029.0,30
1031.0,42
1033.0,46
1035.0,31
1037.0,27
1039.0,28
1041.0,23
1043.0,19
1045.0,20
1047.0,23
1049.0,18
1051.0,18
1053.0,10
1055.0,15
1057.0,20
1059.0,19
1061.0,14
1063.0,20
1065.0,25
1067.0,14
1069.0,17
1071.0,17
1073.0,23
1075.0,17
1077.0,17
1079.0,22
1081.0,20
1083.0,16
1085.0,21
1087.0,17
1089.0,20
1091.0,16
1093.0,17
1095.0,14
1097.0,21
1099.0,19
1101.0,13
1103.0,16
1105.0,25
1107.0,16
1109.0,13
1111.0,15
1113.0,16
1115.0,22
1117.0,23
1119.0,20
1121.0,18
1123.0,17
1125.0,14
1127.0,15
1129.0,25
1131.0,20
1133.0,14
1135.0,27
1137.0,25
1139.0,20
1141.0,24
1143.0,22
1145.0,29
1147.0,18
1149.0,15
1151.0,14
1153.0,17
1155.0,14
1157.0,17
1159.0,25
1161.0,18
1163.0,27
1165.0,27
1167.0,22
1169.0,21
1171.0,20
1173.0,16
1175.0,23
1177.0,14
1179.0,25
1181.0,22
1183.0,22
1185.0,28
1187.0,12
1189.0,23
1191.0,20
1193.0,28
1195.0,14
1197.0,19
1199.0,17
1201.0,21
1203.0,24
1205.0,25
1207.0,20
1209.0,21
1211.0,22
1213.0,23
1215.0,25
1217.0,18
1219.0,19
1221.0,28
1223.0,25
1225.0,19
1227.0,26
1229.0,23
1231.0,15
1233.0,18
1235.0,21
1237.0,20
1239.0,25
1241.0,23
1243.0,23
1245.0,31
1247.0,24
1249.0,22
1251.0,30
1253.0,16
1255.0,25
1257.0,21
1259.0,27
1261.0,18
1263.0,32
1265.0,27
1267.0,24
1269.0,21
1271.0,29
1273.0,12
1275.0,19
1277.0,29
1279.0,24
1281.0,20
1283.0,22
1285.0,26
1287.0,22
1289.0,30
1291.0,24
1293.0,25
1295.0,25
1297.0,23
1299.0,22
1301.0,20
1303.0,27
1305.0,27
1307.0,40
1309.0,21
1311.0,24
1313.0,23
1315.0,31
1317.0,25
1319.0,24
1321.0,19
1323.0,25
1325.0,28
1327.0,22
1329.0,25
1331.0,21
1333.0,19
1335.0,20
1337.0,14
1339.0,19
1341.0,30
1343.0,23
1345.0,16
1347.0,20
1349.0,30
1351.0,37
1353.0,29
1355.0,33
1357.0,24
1359.0,19
1361.0,22
1363.0,23
1365.0,20
1367.0,15
1369.0,26
1371.0,20
1373.0,23
1375.0,11
1377.0,20
1379.0,21
1381.0,25
1383.0,22
1385.0,29
1387.0,35
1389.0,27
1391.0,23
1393.0,22
1395.0,25
1397.0,16
1399.0,27
1401.0,17
1403.0,25
1405.0,21
1407.0,17
1409.0,16
1411.0,18
1413.0,24
1415.0,23
1417.0,24
1419.0,18
1421.0,28
1423.0,34
1425.0,28
1427.0,19
1429.0,22
1431.0,21
1433.0,16
1435.0,18
1437.0,22
1439.0,20
1441.0,17
1443.0,17
1445.0,20
1447.0,23
1449.0,18
1451.0,17
1453.0,28
1455.0,24
1457.0,21
1459.0,13
1461.0,18
1463.0,25
1465.0,35
1467.0,42
1469.0,48
1471.0,41
1473.0,27
1475.0,31
1477.0,46
1479.0,49
1481.0,27
1483.0,25
1485.0,27
1487.0,21
1489.0,22
1491.0,18
1493.0,20
1495.0,19
1497.0,18
1499.0,28
1501.0,31
1503.0,26
1505.0,36
1507.0,33
1509.0,25
1511.0,25
1513.0,23
1515.0,18
1517.0,22
1519.0,17
1521.0,25
1523.0,22
1525.0,24
1527.0,21
1529.0,24
1531.0,16
1533.0,26
1535.0,23
1537.0,19
1539.0,17
1541.0,23
1543.0,19
1545.0,14
1547.0,14
1549.0,16
1551.0,15
1553.0,24
1555.0,12
1557.0,21
1559.0,21
1561.0,18
1563.0,15
1565.0,12
1567.0,10
1569.0,13
1571.0,8
1573.0,10
1575.0,17
1577.0,11
1579.0,17
1581.0,9
1583.0,10
1585.0,14
1587.0,14
1589.0,12
1591.0,15
1593.0,16
1595.0,10
1597.0,14
1599.0,8
1601.0,11
1603.0,19
1605.0,22
1607.0,16
1609.0,22
1611.0,16
1613.0,11
1615.0,19
1617.0,23
1619.0,42
1621.0,54
1623.0,33
1625.0,22
1627.0,19
1629.0,25
1631.0,19
1633.0,19
1635.0,15
1637.0,13
1639.0,19
1641.0,13
1643.0,15
1645.0,15
1647.0,16
1649.0,14
1651.0,15
1653.0,16
1655.0,10
1657.0,24
1659.0,20
1661.0,35
1663.0,44
1665.0,31
1667.0,25
1669.0,21
1671.0,11
1673.0,17
1675.0,27
1677.0,20
1679.0,17
1681.0,11
1683.0,19
1685.0,12
1687.0,21
1689.0,18
1691.0,24
1693.0,25
1695.0,20
1697.0,14
1699.0,13
1701.0,14
1703.0,17
1705.0,12
1707.0,8
1709.0,23
1711.0,12
1713.0,11
1715.0,14
1717.0,15
1719.0,26
1721.0,22
1723.0,18
1725.0,16
1727.0,11
1729.0,22
1731.0,19
1733.0,18
1735.0,24
1737.0,27
1739.0,12
1741.0,21
1743.0,15
1745.0,20
1747.0,19
1749.0,19
1751.0,12
1753.0,19
1755.0,17
1757.0,8
1759.0,19
1761.0,19
1763.0,13
1765.0,17
1767.0,16
1769.0,16
1771.0,23
1773.0,18
1775.0,18
1777.0,10
1779.0,7
1781.0,15
1783.0,15
1785.0,14
1787.0,21
1789.0,17
1791.0,20
1793.0,19
1795.0,24
1797.0,15
1799.0,14
1801.0,16
1803.0,15
1805.0,17
1807.0,21
1809.0,12
1811.0,17
1813.0,13
1815.0,14
1817.0,13
1819.0,15
1821.0,9
1823.0,17
1825.0,18
1827.0,27
1829.0,28
1831.0,23
1833.0,28
1835.0,22
1837.0,13
1839.0,13
1841.0,13
1843.0,19
1845.0,15
1847.0,21
1849.0,15
1851.0,18
1853.0,20
1855.0,14
1857.0,19
1859.0,11
1861.0,13
1863.0,11
1865.0,16
1867.0,19
1869.0,11
1871.0,21
1873.0,13
1875.0,17
1877.0,14
1879.0,22
1881.0,15
1883.0,12
1885.0,10
1887.0,9
1889.0,19
1891.0,15
1893.0,14
1895.0,16
1897.0,19
1899.0,25
1901.0,35
1903.0,34
1905.0,25
1907.0,29
1909.0,6
1911.0,13
1913.0,8
1915.0,13
1917.0,23
1919.0,15
1921.0,14
1923.0,20
1925.0,19
1927.0,23
1929.0,17
1931.0,21
1933.0,23
1935.0,18
1937.0,31
1939.0,24
1941.0,39
1943.0,23
1945.0,19
1947.0,16
1949.0,26
1951.0,20
1953.0,25
1955.0,25
1957.0,35
1959.0,36
1961.0,60
1963.0,83
1965.0,87
1967.0,100
1969.0,67
1971.0,53
1973.0,47
1975.0,36
1977.0,34
1979.0,30
1981.0,28
1983.0,33
1985.0,20
1987.0,29
1989.0,45
1991.0,69
1993.0,68
1995.0,48
1997.0,35
1999.0,24
2001.0,21
2003.0,23
2005.0,30
2007.0,25
2009.0,17
2011.0,18
2013.0,19
2015.0,19
2017.0,14
2019.0,23
2021.0,18
2023.0,17
2025.0,25
2027.0,17
2029.0,24
2031.0,23
2033.0,19
2035.0,20
2037.0,16
2039.0,19
2041.0,15
2043.0,21
2045.0,24
2047.0,21
2049.0,21
2051.0,29
2053.0,19
2055.0,15
2057.0,16
2059.0,18
2061.0,39
2063.0,25
2065.0,29
2067.0,24
2069.0,20
2071.0,14
2073.0,19
2075.0,16
2077.0,19
2079.0,12
2081.0,22
2083.0,17
2085.0,19
2087.0,19
2089.0,28
2091.0,20
2093.0,13
2095.0,15
2097.0,11
2099.0,16
2101.0,24
2103.0,23
2105.0,39
2107.0,28
2109.0,42
2111.0,18
2113.0,22
2115.0,25
2117.0,25
2119.0,25
2121.0,15
2123.0,17
2125.0,21
2127.0,18
2129.0,12
2131.0,23
2133.0,19
2135.0,12
2137.0,12
2139.0,17
2141.0,12
2143.0,17
2145.0,16
2147.0,19
2149.0,27
2151.0,26
2153.0,20
2155.0,21
2157.0,26
2159.0,34
2161.0,25
2163.0,17
2165.0,30
2167.0,31
2169.0,27
2171.0,22
2173.0,29
2175.0,26
2177.0,17
2179.0,26
2181.0,25
2183.0,27
2185.0,29
2187.0,30
2189.0,50
2191.0,36
2193.0,24
2195.0,22
2197.0,20
2199.0,32
2201.0,27
2203.0,25
2205.0,31
2207.0,25
2209.0,33
2211.0,30
2213.0,21
2215.0,26
2217.0,36
2219.0,43
2221.0,45
2223.0,36
2225.0,41
2227.0,35
2229.0,32
2231.0,34
2233.0,38
2235.0,48
2237.0,52
2239.0,48
2241.0,47
2243.0,35
2245.0,35
2247.0,27
2249.0,34
2251.0,28
2253.0,30
2255.0,41
2257.0,52
2259.0,84
2261.0,65
2263.0,47
2265.0,39
2267.0,33
2269.0,36
2271.0,28
2273.0,21
2275.0,28
2277.0,43
2279.0,38
2281.0,25
2283.0,39
2285.0,41
2287.0,26
2289.0,32
2291.0,33
2293.0,18
2295.0,23
2297.0,28
2299.0,37
2301.0,29
2303.0,54
2305.0,58
2307.0,60
2309.0,52
2311.0,44
2313.0,32
2315.0,38
2317.0,38
2319.0,40
2321.0,36
2323.0,34
2325.0,45
2327.0,29
2329.0,40
2331.0,33
2333.0,21
2335.0,16
2337.0,22
2339.0,21
2341.0,31
2343.0,27
2345.0,27
2347.0,25
2349.0,39
2351.0,37
2353.0,49
2355.0,51
2357.0,42
2359.0,56
2361.0,37
2363.0,35
2365.0,35
2367.0,34
2369.0,41
2371.0,29
2373.0,31
2375.0,33
2377.0,32
2379.0,19
2381.0,21
2383.0,31
2385.0,29
2387.0,27
2389.0,29
2391.0,23
2393.0,35
2395.0,30
2397.0,38
2399.0,48
2401.0,49
2403.0,50
2405.0,45
2407.0,44
2409.0,50
2411.0,56
2413.0,40
2415.0,41
2417.0,42
2419.0,48
2421.0,50
2423.0,47
2425.0,52
2427.0,32
2429.0,35
2431.0,43
2433.0,44
2435.0,47
2437.0,41
2439.0,34
2441.0,37
2443.0,52
2445.0,35
2447.0,58
2449.0,51
2451.0,58
2453.0,52
2455.0,46
2457.0,59
2459.0,75
2461.0,74
2463.0,54
2465.0,72
2467.0,43
2469.0,59
2471.0,38
2473.0,39
2475.0,44
2477.0,18
2479.0,23
2481.0,43
2483.0,28
2485.0,41
2487.0,20
2489.0,32
2491.0,29
2493.0,48
2495.0,52
2497.0,60
2499.0,63
2501.0,36
2503.0,35
2505.0,37
2507.0,44
2509.0,33
2511.0,43
2513.0,40
2515.0,39
2517.0,33
2519.0,31
2521.0,34
2523.0,34
2525.0,23
2527.0,50
2529.0,38
2531.0,36
2533.0,33
2535.0,36
2537.0,49
2539.0,50
2541.0,54
2543.0,72
2545.0,62
2547.0,48
2549.0,47
2551.0,43
2553.0,41
2555.0,29
2557.0,42
2559.0,31
2561.0,36
2563.0,32
2565.0,37
2567.0,44
2569.0,48
2571.0,38
2573.0,31
2575.0,47
2577.0,32
2579.0,41
2581.0,53
2583.0,52
2585.0,59
2587.0,66
2589.0,57
2591.0,56
2593.0,53
2595.0,57
2597.0,58
2599.0,57
2601.0,50
2603.0,52
2605.0,46
2607.0,44
2609.0,28
2611.0,39
2613.0,23
2615.0,32
2617.0,46
2619.0,56
2621.0,50
2623.0,75
2625.0,50
2627.0,56
2629.0,40
2631.0,40
2633.0,39
2635.0,28
2637.0,53
2639.0,63
2641.0,60
2643.0,55
2645.0,51
2647.0,39
2649.0,43
2651.0,49
2653.0,49
2655.0,35
2657.0,33
2659.0,39
2661.0,46
2663.0,31
2665.0,57
2667.0,49
2669.0,41
2671.0,28
2673.0,43
2675.0,58
2677.0,46
2679.0,56
2681.0,38
2683.0,47
2685.0,36
2687.0,22
2689.0,26
2691.0,40
2693.0,30
2695.0,31
2697.0,43
2699.0,44
2701.0,48
2703.0,49
