Bin center (eV),Counts per 2 eV bin
801.0,17
803.0,24
805.0,19
807.0,20
809.0,15
811.0,25
813.0,35
815.0,33
817.0,40
819.0,36
821.0,35
823.0,47
825.0,43
827.0,42
829.0,51
831.0,53
833.0,63
835.0,96
837.0,109
839.0,135
841.0,160
843.0,180
845.0,144
847.0,196
849.0,209
851.0,235
853.0,288
855.0,250
857.0,184
859.0,160
861.0,107
863.0,58
865.0,47
867.0,39
869.0,31
871.0,35
873.0,37
875.0,37
877.0,45
879.0,23
881.0,29
883.0,11
885.0,25
887.0,31
889.0,45
891.0,39
893.0,52
895.0,39
897.0,50
899.0,55
901.0,77
903.0,116
905.0,196
907.0,231
909.0,175
911.0,112
913.0,94
915.0,134
917.0,177
919.0,225
921.0,269
923.0,294
925.0,232
927.0,184
929.0,176
931.0,179
933.0,159
935.0,173
937.0,96
939.0,74
941.0,61
943.0,50
945.0,48
947.0,44
949.0,47
951.0,40
953.0,42
955.0,30
957.0,27
959.0,28
961.0,30
963.0,27
965.0,32
967.0,15
969.0,27
971.0,22
973.0,40
975.0,25
977.0,33
979.0,15
981.0,27
983.0,21
985.0,21
987.0,16
989.0,7
991.0,12
993.0,18
995.0,8
997.0,13
999.0,14
1001.0,19
1003.0,13
1005.0,17
1007.0,8
1009.0,14
1011.0,12
1013.0,11
1015.0,17
1017.0,11
1019.0,11
1021.0,16
1023.0,12
1025.0,22
1027.0,18
1029.0,22
1031.0,16
1033.0,25
1035.0,27
1037.0,24
1039.0,21
1041.0,10
1043.0,11
1045.0,8
1047.0,4
1049.0,7
1051.0,14
1053.0,13
1055.0,13
1057.0,13
1059.0,7
1061.0,14
1063.0,5
1065.0,8
1067.0,9
1069.0,13
1071.0,15
1073.0,17
1075.0,17
1077.0,15
1079.0,9
1081.0,8
1083.0,16
1085.0,5
1087.0,15
1089.0,11
1091.0,17
1093.0,11
1095.0,12
1097.0,15
1099.0,15
1101.0,4
1103.0,15
1105.0,10
1107.0,10
1109.0,9
1111.0,13
1113.0,6
1115.0,13
1117.0,9
1119.0,15
1121.0,10
1123.0,19
1125.0,14
1127.0,10
1129.0,15
1131.0,9
1133.0,7
1135.0,16
1137.0,9
1139.0,12
1141.0,13
1143.0,8
1145.0,11
1147.0,11
1149.0,10
1151.0,8
1153.0,13
1155.0,13
1157.0,12
1159.0,9
1161.0,16
1163.0,11
1165.0,10
1167.0,9
1169.0,14
1171.0,8
1173.0,17
1175.0,12
1177.0,17
1179.0,18
1181.0,10
1183.0,15
1185.0,14
1187.0,7
1189.0,16
1191.0,6
1193.0,12
1195.0,14
1197.0,10
1199.0,24
1201.0,26
1203.0,18
1205.0,14
1207.0,8
1209.0,12
1211.0,15
1213.0,9
1215.0,18
1217.0,15
1219.0,17
1221.0,15
1223.0,18
1225.0,23
1227.0,25
1229.0,15
1231.0,13
1233.0,23
1235.0,10
1237.0,9
1239.0,11
1241.0,14
1243.0,17
1245.0,17
1247.0,15
1249.0,18
1251.0,17
1253.0,11
1255.0,10
1257.0,4
1259.0,13
1261.0,14
1263.0,23
1265.0,21
1267.0,24
1269.0,11
1271.0,8
1273.0,12
1275.0,20
1277.0,16
1279.0,14
1281.0,9
1283.0,14
1285.0,9
1287.0,12
1289.0,9
1291.0,18
1293.0,16
1295.0,13
1297.0,9
1299.0,14
1301.0,7
1303.0,9
1305.0,17
1307.0,12
1309.0,10
1311.0,18
1313.0,15
1315.0,18
1317.0,13
1319.0,18
1321.0,8
1323.0,13
1325.0,14
1327.0,16
1329.0,15
1331.0,14
1333.0,12
1335.0,16
1337.0,11
1339.0,16
1341.0,17
1343.0,15
1345.0,19
1347.0,27
1349.0,20
1351.0,19
1353.0,22
1355.0,9
1357.0,16
1359.0,13
1361.0,10
1363.0,12
1365.0,13
1367.0,14
1369.0,13
1371.0,12
1373.0,9
1375.0,16
1377.0,24
1379.0,26
1381.0,22
1383.0,17
1385.0,18
1387.0,12
1389.0,15
1391.0,21
1393.0,13
1395.0,15
1397.0,13
1399.0,12
1401.0,8
1403.0,12
1405.0,8
1407.0,8
1409.0,11
1411.0,15
1413.0,8
1415.0,15
1417.0,16
1419.0,13
1421.0,19
1423.0,23
1425.0,16
1427.0,17
1429.0,16
1431.0,21
1433.0,15
1435.0,14
1437.0,16
1439.0,6
1441.0,5
1443.0,11
1445.0,10
1447.0,17
1449.0,12
1451.0,13
1453.0,13
1455.0,17
1457.0,14
1459.0,7
1461.0,13
1463.0,14
1465.0,8
1467.0,13
1469.0,12
1471.0,12
1473.0,13
1475.0,14
1477.0,14
1479.0,13
1481.0,13
1483.0,11
1485.0,12
1487.0,14
1489.0,16
1491.0,12
1493.0,19
1495.0,9
1497.0,12
1499.0,12
1501.0,20
1503.0,15
1505.0,8
1507.0,14
1509.0,13
1511.0,15
1513.0,19
1515.0,23
1517.0,9
1519.0,9
1521.0,12
1523.0,16
1525.0,14
1527.0,19
1529.0,19
1531.0,15
1533.0,23
1535.0,12
1537.0,15
1539.0,14
1541.0,12
1543.0,15
1545.0,9
1547.0,10
1549.0,8
1551.0,14
1553.0,16
1555.0,15
1557.0,19
1559.0,14
1561.0,13
1563.0,21
1565.0,17
1567.0,9
1569.0,24
1571.0,19
1573.0,12
1575.0,10
1577.0,10
1579.0,13
1581.0,8
1583.0,13
1585.0,10
1587.0,5
1589.0,9
1591.0,16
1593.0,8
1595.0,13
1597.0,7
1599.0,12
1601.0,8
1603.0,6
1605.0,9
1607.0,18
