Bin center (eV),Counts per 2 eV bin
800.5,4
801.5,2
802.5,0
803.5,2
804.5,3
805.5,1
806.5,1
807.5,0
808.5,1
809.5,3
810.5,3
811.5,3
812.5,0
813.5,1
814.5,3
815.5,1
816.5,2
817.5,1
818.5,0
819.5,3
820.5,3
821.5,5
822.5,2
823.5,3
824.5,2
825.5,3
826.5,2
827.5,1
828.5,4
829.5,0
830.5,2
831.5,3
832.5,6
833.5,2
834.5,4
835.5,5
836.5,2
837.5,3
838.5,5
839.5,3
840.5,4
841.5,4
842.5,2
843.5,1
844.5,4
845.5,6
846.5,5
847.5,7
848.5,1
849.5,5
850.5,3
851.5,2
852.5,2
853.5,4
854.5,4
855.5,7
856.5,3
857.5,0
858.5,3
859.5,0
860.5,4
861.5,2
862.5,0
863.5,1
864.5,1
865.5,3
866.5,7
867.5,1
868.5,1
869.5,4
870.5,3
871.5,4
872.5,1
873.5,2
874.5,5
875.5,2
876.5,1
877.5,0
878.5,0
879.5,2
880.5,2
881.5,2
882.5,3
883.5,1
884.5,6
885.5,2
886.5,1
887.5,3
888.5,3
889.5,4
890.5,1
891.5,2
892.5,0
893.5,3
894.5,3
895.5,4
896.5,4
897.5,4
898.5,4
899.5,5
900.5,2
901.5,3
902.5,7
903.5,2
904.5,4
905.5,10
906.5,6
907.5,4
908.5,7
909.5,3
910.5,7
911.5,3
912.5,7
913.5,3
914.5,7
915.5,2
916.5,3
917.5,6
918.5,2
919.5,2
920.5,6
921.5,5
922.5,1
923.5,4
924.5,4
925.5,5
926.5,5
927.5,3
928.5,5
929.5,5
930.5,5
931.5,5
932.5,3
933.5,9
934.5,4
935.5,7
936.5,2
937.5,7
938.5,3
939.5,4
940.5,3
941.5,4
942.5,2
943.5,5
944.5,3
945.5,0
946.5,3
947.5,2
948.5,4
949.5,2
950.5,1
951.5,1
952.5,1
953.5,0
954.5,3
955.5,2
956.5,2
957.5,3
958.5,1
959.5,0
960.5,1
961.5,0
962.5,2
963.5,3
964.5,0
965.5,0
966.5,1
967.5,2
968.5,0
969.5,1
970.5,0
971.5,1
972.5,0
973.5,1
974.5,1
975.5,2
976.5,1
977.5,1
978.5,2
979.5,1
980.5,4
981.5,1
982.5,2
983.5,1
984.5,2
985.5,1
986.5,4
987.5,1
988.5,2
989.5,1
990.5,4
991.5,3
992.5,0
993.5,1
994.5,0
995.5,2
996.5,1
997.5,2
998.5,0
999.5,0
1000.5,1
1001.5,3
1002.5,4
1003.5,3
1004.5,4
1005.5,0
1006.5,2
1007.5,0
1008.5,2
1009.5,1
1010.5,2
1011.5,1
1012.5,3
1013.5,2
1014.5,2
1015.5,4
1016.5,1
1017.5,3
1018.5,0
1019.5,1
1020.5,0
1021.5,1
1022.5,1
1023.5,4
1024.5,3
1025.5,0
1026.5,3
1027.5,1
1028.5,1
1029.5,2
1030.5,1
1031.5,3
1032.5,0
1033.5,3
1034.5,1
1035.5,1
1036.5,2
1037.5,1
1038.5,2
1039.5,2
1040.5,2
1041.5,3
1042.5,1
1043.5,2
1044.5,1
1045.5,2
1046.5,1
1047.5,2
1048.5,0
1049.5,6
1050.5,3
1051.5,0
1052.5,0
1053.5,3
1054.5,0
1055.5,1
1056.5,2
1057.5,2
1058.5,1
1059.5,1
1060.5,0
1061.5,0
1062.5,1
1063.5,2
1064.5,1
1065.5,3
1066.5,2
1067.5,1
1068.5,1
1069.5,1
1070.5,0
1071.5,2
1072.5,1
1073.5,0
1074.5,2
1075.5,0
1076.5,1
1077.5,3
1078.5,4
1079.5,3
1080.5,2
1081.5,0
1082.5,1
1083.5,3
1084.5,0
1085.5,1
1086.5,0
1087.5,1
1088.5,0
1089.5,3
1090.5,3
1091.5,0
1092.5,1
1093.5,0
1094.5,1
1095.5,1
1096.5,0
1097.5,1
1098.5,3
1099.5,0
1100.5,1
1101.5,1
1102.5,1
1103.5,0
1104.5,2
1105.5,3
1106.5,1
1107.5,0
1108.5,4
1109.5,3
1110.5,5
1111.5,1
1112.5,0
1113.5,1
1114.5,1
1115.5,1
1116.5,2
1117.5,2
1118.5,1
1119.5,2
1120.5,1
1121.5,1
1122.5,1
1123.5,4
1124.5,0
1125.5,0
1126.5,1
1127.5,4
1128.5,2
1129.5,0
1130.5,0
1131.5,0
1132.5,0
1133.5,3
1134.5,1
1135.5,5
1136.5,2
1137.5,1
1138.5,1
1139.5,1
1140.5,1
1141.5,3
1142.5,0
1143.5,1
1144.5,1
1145.5,1
1146.5,0
1147.5,1
1148.5,2
1149.5,0
1150.5,1
1151.5,1
1152.5,0
1153.5,0
1154.5,1
1155.5,3
1156.5,1
1157.5,1
1158.5,2
1159.5,2
1160.5,1
1161.5,3
1162.5,2
1163.5,5
1164.5,1
1165.5,4
1166.5,2
1167.5,0
1168.5,3
1169.5,0
1170.5,0
1171.5,3
1172.5,2
1173.5,3
1174.5,2
1175.5,4
1176.5,0
1177.5,3
1178.5,2
1179.5,1
1180.5,1
1181.5,2
1182.5,2
1183.5,2
1184.5,1
1185.5,1
1186.5,1
1187.5,2
1188.5,0
1189.5,2
1190.5,3
1191.5,2
1192.5,3
1193.5,3
1194.5,0
1195.5,2
1196.5,1
1197.5,0
1198.5,2
1199.5,0
1200.5,1
1201.5,1
1202.5,3
1203.5,3
1204.5,3
1205.5,3
1206.5,5
1207.5,3
1208.5,3
1209.5,1
1210.5,0
1211.5,0
1212.5,2
1213.5,0
1214.5,1
1215.5,2
1216.5,1
1217.5,1
1218.5,0
1219.5,0
1220.5,0
1221.5,2
1222.5,1
1223.5,3
1224.5,0
1225.5,2
1226.5,2
1227.5,2
1228.5,1
1229.5,0
1230.5,2
1231.5,0
1232.5,2
1233.5,1
1234.5,0
1235.5,3
1236.5,1
1237.5,4
1238.5,2
1239.5,1
1240.5,1
1241.5,3
1242.5,4
1243.5,2
1244.5,1
1245.5,1
1246.5,1
1247.5,3
1248.5,2
1249.5,5
1250.5,0
1251.5,5
1252.5,3
1253.5,1
1254.5,1
1255.5,3
1256.5,1
1257.5,1
1258.5,1
1259.5,3
1260.5,0
1261.5,1
1262.5,1
1263.5,2
1264.5,1
1265.5,2
1266.5,4
1267.5,1
1268.5,1
1269.5,0
1270.5,2
1271.5,0
1272.5,1
1273.5,1
1274.5,1
1275.5,1
1276.5,2
1277.5,2
1278.5,3
1279.5,3
1280.5,2
1281.5,1
1282.5,3
1283.5,1
1284.5,2
1285.5,2
1286.5,0
1287.5,0
1288.5,3
1289.5,1
1290.5,1
1291.5,1
1292.5,1
1293.5,2
1294.5,0
1295.5,2
1296.5,1
1297.5,1
1298.5,2
1299.5,0
1300.5,4
1301.5,1
1302.5,1
1303.5,0
1304.5,2
1305.5,4
1306.5,4
1307.5,0
1308.5,2
1309.5,1
1310.5,1
1311.5,3
1312.5,2
1313.5,1
1314.5,2
1315.5,3
1316.5,1
1317.5,3
1318.5,1
1319.5,2
1320.5,4
1321.5,0
1322.5,0
1323.5,3
1324.5,1
1325.5,2
1326.5,1
1327.5,2
1328.5,2
1329.5,3
1330.5,1
1331.5,0
1332.5,0
1333.5,1
1334.5,2
1335.5,1
1336.5,1
1337.5,1
1338.5,1
1339.5,1
1340.5,4
1341.5,0
1342.5,3
1343.5,4
1344.5,1
1345.5,3
1346.5,0
1347.5,1
1348.5,2
1349.5,5
1350.5,1
1351.5,4
1352.5,1
1353.5,0
1354.5,1
1355.5,1
1356.5,4
1357.5,2
1358.5,2
1359.5,3
1360.5,2
1361.5,4
1362.5,0
1363.5,2
1364.5,0
1365.5,0
1366.5,0
1367.5,4
1368.5,1
1369.5,2
1370.5,2
1371.5,4
1372.5,2
1373.5,0
1374.5,1
1375.5,1
1376.5,1
1377.5,0
1378.5,1
1379.5,0
1380.5,2
1381.5,1
1382.5,2
1383.5,2
1384.5,5
1385.5,0
1386.5,2
1387.5,1
1388.5,5
1389.5,2
1390.5,0
1391.5,3
1392.5,5
1393.5,3
1394.5,2
1395.5,2
1396.5,2
1397.5,5
1398.5,2
1399.5,4
1400.5,0
1401.5,3
1402.5,0
1403.5,1
1404.5,2
1405.5,3
1406.5,4
1407.5,2
1408.5,3
1409.5,2
1410.5,3
1411.5,3
1412.5,3
1413.5,2
1414.5,2
1415.5,1
1416.5,1
1417.5,2
1418.5,0
1419.5,2
1420.5,1
1421.5,1
1422.5,0
1423.5,3
1424.5,1
1425.5,0
1426.5,0
1427.5,3
1428.5,5
1429.5,1
1430.5,1
1431.5,1
1432.5,1
1433.5,2
1434.5,0
1435.5,1
1436.5,0
1437.5,2
1438.5,2
1439.5,1
1440.5,0
1441.5,2
1442.5,3
1443.5,3
1444.5,2
1445.5,3
1446.5,0
1447.5,1
1448.5,1
1449.5,1
1450.5,0
1451.5,1
1452.5,3
1453.5,2
1454.5,2
1455.5,1
1456.5,1
1457.5,1
1458.5,1
1459.5,1
1460.5,4
1461.5,0
1462.5,1
1463.5,1
1464.5,0
1465.5,1
1466.5,1
1467.5,2
1468.5,0
1469.5,3
1470.5,0
1471.5,0
1472.5,0
1473.5,3
1474.5,0
1475.5,4
1476.5,0
1477.5,1
1478.5,3
1479.5,2
1480.5,1
1481.5,2
1482.5,4
1483.5,1
1484.5,3
1485.5,3
1486.5,2
1487.5,0
1488.5,2
1489.5,2
1490.5,2
1491.5,2
1492.5,4
1493.5,4
1494.5,3
1495.5,5
1496.5,1
1497.5,2
1498.5,2
1499.5,0
1500.5,2
1501.5,2
1502.5,5
1503.5,2
1504.5,2
1505.5,2
1506.5,2
1507.5,1
1508.5,1
1509.5,1
1510.5,1
1511.5,2
1512.5,1
1513.5,1
1514.5,1
1515.5,0
1516.5,3
1517.5,2
1518.5,0
1519.5,0
1520.5,1
1521.5,1
1522.5,2
1523.5,1
1524.5,1
1525.5,4
1526.5,2
1527.5,1
1528.5,7
1529.5,4
1530.5,2
1531.5,1
1532.5,2
1533.5,1
1534.5,1
1535.5,0
1536.5,2
1537.5,0
1538.5,1
1539.5,0
1540.5,1
1541.5,2
1542.5,1
1543.5,0
1544.5,3
1545.5,2
1546.5,2
1547.5,3
1548.5,2
1549.5,1
1550.5,0
1551.5,1
1552.5,1
1553.5,0
1554.5,2
1555.5,1
1556.5,0
1557.5,1
1558.5,1
1559.5,1
1560.5,1
1561.5,3
1562.5,3
1563.5,2
1564.5,3
1565.5,2
1566.5,2
1567.5,2
1568.5,0
1569.5,2
1570.5,0
1571.5,2
1572.5,2
1573.5,2
1574.5,2
1575.5,2
1576.5,2
1577.5,2
1578.5,0
1579.5,2
1580.5,3
1581.5,2
1582.5,2
1583.5,1
1584.5,2
1585.5,1
1586.5,0
1587.5,2
1588.5,2
1589.5,4
1590.5,3
1591.5,0
1592.5,3
1593.5,5
1594.5,4
1595.5,2
1596.5,0
1597.5,3
1598.5,3
1599.5,3
1600.5,3
1601.5,1
1602.5,3
1603.5,2
1604.5,0
1605.5,0
1606.5,2
1607.5,4
1608.5,2
1609.5,2
1610.5,4
1611.5,1
1612.5,1
1613.5,1
1614.5,1
1615.5,1
1616.5,1
1617.5,2
1618.5,0
1619.5,4
1620.5,2
1621.5,3
1622.5,1
1623.5,1
1624.5,0
1625.5,0
1626.5,1
1627.5,4
1628.5,3
1629.5,0
1630.5,2
1631.5,2
1632.5,2
1633.5,1
1634.5,1
1635.5,1
1636.5,3
1637.5,1
1638.5,2
1639.5,2
1640.5,2
1641.5,2
1642.5,0
1643.5,1
1644.5,0
1645.5,0
1646.5,1
